,Name,sci_name,order,family,genus,sci_n_year,year,altitude,populate,habitat,conservation,other_names,IUCN_link
0,Hawaii Amakihi,Chlorodrepanis virens,passeriformes,fringillidae,chlorodrepanis,"(Gmelin, 1788)",5.5 years,,Stable,"Forest, Artificial/Terrestrial",Least Concern,"Hawaii Amakihi, Common 'Amakihi, Common Amakihi",https://www.iucnredlist.org/species/22720766/94682369
0,Black Mamo,Drepanis funerea,passeriformes,fringillidae,drepanis,"Newton, 1893",4.3 years,,Unspecified,Forest,Extinct,Black Mamo,https://www.iucnredlist.org/species/22720852/94686803
0,Hawaii Mamo,Drepanis pacifica,passeriformes,fringillidae,drepanis,"(Gmelin, 1788)",4.3 years,,Unspecified,Forest,Extinct,"Hawaii Mamo, Hawai'i Mamo",https://www.iucnredlist.org/species/22720848/94686625
0,Iiwi,Drepanis coccinea,passeriformes,fringillidae,drepanis,"(Forster, 1781)",2.44 years,"1,900 metres",Decreasing,Forest,Vulnerable,"Iiwi, 'I'iwi",https://www.iucnredlist.org/species/22720844/179228794
0,Apapane,Himatione sanguinea,passeriformes,fringillidae,himatione,"(Gmelin, 1788)",5.6 years,,Stable,Forest,Least Concern,Apapane,https://www.iucnredlist.org/species/103828426/111174421
0,Laysan Honeycreeper,Himatione fraithii,passeriformes,fringillidae,himatione,"(Rothschild, 1892)",5.6 years,,Unspecified,Forest,Extinct,Laysan Honeycreeper,https://www.iucnredlist.org/species/103829706/119553201
0,Akohekohe,Palmeria dolei,passeriformes,fringillidae,palmeria,"(Wilson, 1891)",4.6 years,"2,100 metres",Decreasing,Forest,Critically Endangered,"Akohekohe, 'Akohekohe, Crested Honeycreeper",https://www.iucnredlist.org/species/22720855/182550979
0,Ula-ai-hawane,Ciridops anna,passeriformes,fringillidae,ciridops,"(Dole, 1879)",4.3 years,,Unspecified,Forest,Extinct,"Ula-ai-hawane, Ula-'ai-hawane",https://www.iucnredlist.org/species/22720840/94686158
0,Common Rosefinch,Carpodacus erythrinus,passeriformes,fringillidae,carpodacus,"(Pallas, 1770)",4.1 years,"2,700 metres",Decreasing,"Forest, Shrubland, Wetlands (inland), Artificial/Terrestrial",Least Concern,"Common Rosefinch, Scarlet Rosefinch",https://www.iucnredlist.org/species/22720556/111130806
0,Scarlet Finch,Carpodacus sipahi,passeriformes,fringillidae,carpodacus,"(Hodgson, 1836)",4.3 years,"3,355 metres",Stable,"Forest, Shrubland",Least Concern,Scarlet Finch,https://www.iucnredlist.org/species/22720635/94676340
