,Common Name,Conservation status,Synonyms,Old latin name for bird,Order,Family,Genus,Breeding region,Breeding subregion,Link,Non breeding region
0,tepui-foliagegleaner,LC - Least concern,"White-throated Foliage-gleaner, Neblina Foliage-Gleaner, White throated Foliage gleaner","Automolus albicularis, Automolus roraimae, Automolus albigularis, Philydor hylobius",Perching Birds / Passeriformes,Ovenbirds / Furnariidae,Syndactyla,South America,tepuis,https://dibird.com/species/tepui-foliagegleaner/,-
0,tepui-goldenthroat,LC - Least concern,Tepui Golenthroat,Waldronia milleri,Swifts and Hummingbirds / Apodiformes,Hummingbirds / Trochilidae,Polytmus,South America,"tepuis of Venezuela, w Guyana and extreme n Brazil",https://dibird.com/species/tepui-goldenthroat/,-
0,tepui-parrotlet,LC - Least concern,"Tepui parrolet, Tepui Parakeet",Brotogerys [sic] panychlorus,Parrots / Psittaciformes,African & New World Parrots / Psittacidae,Nannopsittaca,South America,tepuis,https://dibird.com/species/tepui-parrotlet/,-
0,tepui-spinetail,LC - Least concern,,"Certhiaxis demissa, Synallaxis demissa",Perching Birds / Passeriformes,Ovenbirds / Furnariidae,Cranioleuca,South America,tepuis,https://dibird.com/species/tepui-spinetail/,-
0,tepui-swift,LC - Least concern,"Phelps's Swift, Phelp's Swift",Cypseloides phelpsi,Swifts and Hummingbirds / Apodiformes,Swifts / Apodidae,Streptoprocne,South America,tepuis,https://dibird.com/species/tepui-swift/,-
0,tepui-tinamou,LC - Least concern,Tepuí Tinamou,,Tinamous / Tinamiformes,Tinamous / Tinamidae,Crypturellus,South America,Venezuela,https://dibird.com/species/tepui-tinamou/,-
0,tepui-toucanet,LC - Least concern,"Whitely's Toucanet, Chestnut-tipped Toucanet (Whitely's)",Aulacorhamphus whitelianus,"Woodpeckers, Toucans and relatives / Piciformes",Toucans / Ramphastidae,Aulacorhynchus,South America,tepuis of s Venezuela and s Guyana,https://dibird.com/species/tepui-toucanet/,-
0,tepui-vireo,LC - Least concern,Tepui Greenlet,Hylophilus sclateri,Perching Birds / Passeriformes,"Vireos, Greenlets, Shrike-babblers / Vireonidae",Vireo,South America,"tepuis of Venezuela, Guyana and Brazil",https://dibird.com/species/tepui-vireo/,-
0,tepui-whitestart,LC - Least concern,"Venezuelan Redstart, Tepui Redstart","Myioborus castaneocapillus, Setophaga castaneocapilla",Perching Birds / Passeriformes,New World Warblers / Parulidae,Myioborus,South America,tepuis,https://dibird.com/species/tepui-whitestart/,-
0,tepui-wren,LC - Least concern,,,Perching Birds / Passeriformes,Wrens / Troglodytidae,Troglodytes,South America,"e, s Venezuela, w Guyana and n Brazil",https://dibird.com/species/tepui-wren/,-
0,terek-sandpiper,LC - Least concern,Sandpiper,"Xenus cinerea, Tringa cinerea, Scolopax cinerea, Tringa terek, Tringa cinereus",Shorebirds / Charadriiformes,"Sandpipers, Snipes / Scolopacidae",Xenus,Eurasia,e Europe to ne Siberia,https://dibird.com/species/terek-sandpiper/,"AF, OR, AU, also Middle East"
0,terrestrial-brownbul,LC - Least concern,"Brownbul, Scrub Bulbul, Terrestrial Bulbul, Bristle-necked Brownbul",,Perching Birds / Passeriformes,Bulbuls / Pycnonotidae,Phyllastrephus,Africa,"e, se",https://dibird.com/species/terrestrial-brownbul/,-
0,tessmanns-flycatcher,LC - Least concern,"Tessmann's Alseonax, Tessman's Flycatcher","Muscicapa tessamanni, Fraseria tessmanni, Pedilorhynchus tessmanni, Muscicapa brevirostris",Perching Birds / Passeriformes,"Chats, Old World Flycatchers / Muscicapidae",Muscicapa,Africa,"Sierra Leone to Ghana, Cameroon, ne DR Congo",https://dibird.com/species/tessmanns-flycatcher/,-
0,thamnornis,LC - Least concern,"Kiritika, Kritika Warbler, Kirtika Warbler, Kiritika Warbler, Thamnornis Warbler",Ellisia chloropetoides,Perching Birds / Passeriformes,Tetrakas & Allies / Bernieridae,Thamnornis,Africa,Madagascar,https://dibird.com/species/thamnornis/,-
0,theklas-lark,LC - Least concern,"Thekla Crested-Lark, Short-crested Lark",Galerita theklae,Perching Birds / Passeriformes,Larks / Alaudidae,Galerida,Africa,"n, e, also Spain and Portugal",https://dibird.com/species/theklas-lark/,-
0,thickbilled-cuckoo,LC - Least concern,"Levaillant's Cuckoo, Thick billed Cuckoo, Thickbilled Cuckoo","Cuculus audeberti, Pachycoccyx validus",Cuckoos and relatives / Cuculiformes,Cuckoos / Cuculidae,Pachycoccyx,Africa,"w, wc, se AF and Madagascar",https://dibird.com/species/thickbilled-cuckoo/,-
0,thickbilled-euphonia,LC - Least concern,Thick billed Euphonia,,Perching Birds / Passeriformes,"Finches, Euphonias / Fringillidae",Euphonia,"South America, Middle America",Costa Rica to Amazonia,https://dibird.com/species/thickbilled-euphonia/,-
0,thickbilled-flowerpecker,LC - Least concern,Striped Flowerpecker,Fringilla agilis,Perching Birds / Passeriformes,Flowerpeckers / Dicaeidae,Dicaeum,Oriental Region,"widespread, also Lesser Sundas",https://dibird.com/species/thickbilled-flowerpecker/,-
0,thickbilled-fox-sparrow,LC - Least concern,"Large-billed Fox Sparrow, Thick-billed Fox-sparrow, Fox Sparrow (Thick-billed)",Passerella megarhynchus,Perching Birds / Passeriformes,New World Sparrows / Passerellidae,Passerella,North America,sw Oregon and California (w USA),https://dibird.com/species/thickbilled-fox-sparrow/,"C, s California and nw Baja California"
0,thickbilled-grasswren,LC - Least concern,Thick-billed Grasswren (Eastern),Amytis modesta,Perching Birds / Passeriformes,Australasian Wrens / Maluridae,Amytornis,Australasia,"c, sc, ec Australia",https://dibird.com/species/thickbilled-grasswren/,-
0,thickbilled-green-pigeon,LC - Least concern,"Thick-billed Green-Pigeon, Thick-billed Pigeon, Thick billed Green Pigeon",Columba curvirostra,Pigeons and Doves / Columbiformes,"Pigeons, Doves / Columbidae",Treron,Oriental Region,widespread,https://dibird.com/species/thickbilled-green-pigeon/,-
0,thickbilled-ground-dove,EX - Extinct,Thick billed Ground Dove,"Phlogaenas [sic] salamonis, Gallicolumba salamonis, Alopecoenas salamonis",Pigeons and Doves / Columbiformes,"Pigeons, Doves / Columbidae",Pampusana,Australasia,Solomon Is.,https://dibird.com/species/thickbilled-ground-dove/,-
0,thickbilled-ground-pigeon,LC - Least concern,"Ground Pigeon, Thick-billed Ground Dove, Thick billed Ground Pigeon, Thick-billed Ground-Pigeon, Thick-billed Ground-Dove, Thick-billed Jungle-Pigeon",,Pigeons and Doves / Columbiformes,"Pigeons, Doves / Columbidae",Trugon,Australasia,New Guinea,https://dibird.com/species/thickbilled-ground-pigeon/,-
0,thickbilled-heleia,LC - Least concern,"Flores White-eye, Thick-billed White-eye, Stripe-headed White-eye, Sunda Mountain White-eye, Thick billed White eye, Lesser Sunda Lowland White-eye","Zosterops crassirostris, Lophozosterops crassirostris",Perching Birds / Passeriformes,White-eyes / Zosteropidae,Heleia,Australasia,Lesser Sundas,https://dibird.com/species/thickbilled-heleia/,-
0,thickbilled-honeyguide,NE - Not evaluated,Thick billed Honeyguide,Melignothes conirostris,"Woodpeckers, Toucans and relatives / Piciformes",Honeyguides / Indicatoridae,Indicator,Africa,"c, w",https://dibird.com/species/thickbilled-honeyguide/,-
0,thickbilled-kingbird,LC - Least concern,Thick-billed Flycatcher,,Perching Birds / Passeriformes,"Tyrant Flycatchers, Calyptura / Tyrannidae",Tyrannus,"Middle America, North America",sw USA to Guatemala,https://dibird.com/species/thickbilled-kingbird/,-
0,thickbilled-lark,LC - Least concern,"Clot Bey Lark, Clot-Bey's Lark, Clot-bey Lark, Clotbey Lark","Ramphocoris clot-bey, Rhamphocoris clotbey, Rhamphocorys clotbey, Melanocorypha clot-bey, Ramphocoris clothey",Perching Birds / Passeriformes,Larks / Alaudidae,Ramphocoris,Africa,"Mauritania and Morocco to Libya, also c Arabian Pen.",https://dibird.com/species/thickbilled-lark/,-
0,thickbilled-longspur,LC - Least concern,McCown's Longspur,"Plectrophanes mccownii, Rhynchophanes mccowni, Calcarius mccownii",Perching Birds / Passeriformes,"Longspurs, Snow Buntings / Calcariidae",Rhynchophanes,North America,sc Canada and nc USA,https://dibird.com/species/thickbilled-longspur/,to n Mexico
0,thickbilled-miner,LC - Least concern,Thick billed Miner,,Perching Birds / Passeriformes,Ovenbirds / Furnariidae,Geositta,South America,"w, sw Peru",https://dibird.com/species/thickbilled-miner/,-
0,thickbilled-murre,LC - Least concern,"Thick-billed Murre/Brunnich's Guillemot, Brunnich's Guillemot, Brünnich's Murre, Pallas's Murre, Bunnich's Guillemot, Brünnich's Guillemot, Brunnich's Murre, Thick-billed Guillemot",Alca lomvia,Shorebirds / Charadriiformes,Auks / Alcidae,Uria,"North America, Eurasia",n coasts,https://dibird.com/species/thickbilled-murre/,n oceans
0,thickbilled-parrot,EN - Endangered,"Thick billed Parrot, Thick-billed Macawlet",Macrocercus pachyrhynchus,Parrots / Psittaciformes,African & New World Parrots / Psittacidae,Rhynchopsitta,Middle America,w Mexico,https://dibird.com/species/thickbilled-parrot/,-
0,thickbilled-raven,LC - Least concern,Thick billed Raven,,Perching Birds / Passeriformes,"Crows, Jays / Corvidae",Corvus,Africa,Eritrea to se Sudan through Ethiopia to nw Somalia,https://dibird.com/species/thickbilled-raven/,-
0,thickbilled-saltator,LC - Least concern,Thick billed Saltator,,Perching Birds / Passeriformes,Tanagers & Allies / Thraupidae,Saltator,South America,"ne Argentina and s, se Brazil",https://dibird.com/species/thickbilled-saltator/,-
0,thickbilled-seed-finch,LC - Least concern,"Thick-billed Seedfinch, Thick-billed Seed-Finch",Oryzoborus funereus,Perching Birds / Passeriformes,Tanagers & Allies / Thraupidae,Sporophila,"South America, Middle America",se Mexico to w Ecuador,https://dibird.com/species/thickbilled-seed-finch/,-
