,Common Name,Kingdom,Phylum,Class,Link,Description,auditory system,biogeographic realm,body mass,ecoregion,geographic distribution includes,habitat,hearing threshold,locomotion,mineralized skeleton contains,population trend,visual system,conservation status,type specimen repository,body shape,diet includes,eats,mating system,native range includes,parental care,social system,foraging habitat,preys on,trophic guild,hearing range,bill length,tarsus length,temperature at range midpoint latitude,ecomorphological guild,body length,life span,litters per year,prenatal development duration,weight,body temperature,parasitized by,behavioral circadian rhythm,sensory system,number of public records in bold,has ectoparasite,host of,has pathogen,onset of fertility,genome size,mutualistic with,growth rate,tarsometatarsus + middle toe length,basal metabolic rate,used for,has endoparasite,visits flowers of,is vector for,clutch/brood/litter size,is eaten by,developmental mode,wing morphology,egg mass,has host
0,Sunda cuckoo,Animalia,Chordata,Aves,https://eol.org/pages/1064887,Cuculus lepidus (Sunda Cuckoo) is a species of birds in the family Cuculidae. They rely on flight to move around.,tympanic middle ear,,,,Malaysia,"mountain,terrestrial",20 dB,bipedal movement,apatite,Stable,corneal eyes,,,,,,,,,,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sunda cuckooshrike,Animalia,Chordata,Aves,https://eol.org/pages/45516742,Coracina larvata (Sunda Cuckooshrike) is a species of birds in the family cuckoo-shrikes. They are found in the indo-malayan realm. They rely on flight to move around.,tympanic middle ear,the indo-malayan realm,,Western Java Montane Rain Forests,Indonesia,"montane forest,terrestrial",10 dB,flight,apatite,Decreasing,corneal eyes,,,,,,,,,,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sunda forktail,Animalia,Chordata,Aves,https://eol.org/pages/45517520,Enicurus velatus (Sunda Forktail) is a species of birds in the family Old World flycatchers. They are found in the indo-malayan realm. They rely on flight to move around.,tympanic middle ear,the indo-malayan realm,,Sumatran Lowland Rain Forests,Indonesia,"montane forest,freshwater habitat",10 dB,bipedal movement,apatite,Stable,corneal eyes,,,,,,,,,,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sunda frogmouth,Animalia,Chordata,Aves,https://eol.org/pages/45516362,Batrachostomus cornutus (Sunda Frogmouth) is a species of birds in the family frogmouths. They are found in the indo-malayan realm. They rely on flight to move around.,tympanic middle ear,the indo-malayan realm,,Borneo Lowland Rain Forests,Malaysia,"tropical,terrestrial",20 dB,bipedal movement,apatite,Stable,corneal eyes,,,,,,,,,,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sunda laughingthrush,Animalia,Chordata,Aves,https://eol.org/pages/45517200,Garrulax palliatus (Sunda Laughingthrush) is a species of birds in the family Leiothrichidae. They are listed as near threatened by IUCN. They are found in the indo-malayan realm. They rely on flight to move around.,tympanic middle ear,the indo-malayan realm,,Kinabalu Montane Alpine Meadows,Indonesia,"tropical,terrestrial",10 dB,flight,apatite,Decreasing,corneal eyes,near threatened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sunda minivet,Animalia,Chordata,Aves,https://eol.org/pages/45516795,Pericrocotus miniatus (Sunda Minivet) is a species of birds in the family cuckoo-shrikes. They are found in the indo-malayan realm. They rely on flight to move around.,tympanic middle ear,the indo-malayan realm,,Sumatran Lowland Rain Forests,Indonesia,terrestrial,10 dB,bipedal movement,apatite,Stable,corneal eyes,,"Harvard UNiversity, Museum of Comparative Zoology",,,,,,,,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sunda pygmy woodpecker,Animalia,Chordata,Aves,https://eol.org/pages/47043745,Yungipicus moluccensis (Sunda Pygmy Woodpecker) is a species of birds in the family woodpeckers. They rely on flight to move around.,tympanic middle ear,,,,,montane forest,20 dB,bipedal movement,apatite,,corneal eyes,,,,,,,,,,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sunda robin,Animalia,Chordata,Aves,https://eol.org/pages/45517510,Myiomela diana (Sunda Robin) is a species of birds in the family Old World flycatchers. They rely on flight to move around.,tympanic middle ear,,,,Indonesia,"tropical,terrestrial",10 dB,bipedal movement,apatite,Decreasing,corneal eyes,,,,,,,,,,,,,5000 Hz,,,,,,,,,,,,,,,,Ixodes,,,,,,,,,,,,,,,,,
0,Sunda scops owl,Animalia,Chordata,Aves,https://eol.org/pages/45518926,Otus lempiji (Sunda Scops Owl) is a species of birds in the family typical owls. They are found in the indo-malayan realm. They rely on flight to move around.,tympanic middle ear,the indo-malayan realm,,Western Java Rain Forests,Malaysia,"mountain,terrestrial",-15 dB,bipedal movement,apatite,Stable,corneal eyes,,,,,,,,,,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sunda teal,Animalia,Chordata,Aves,https://eol.org/pages/45515919,Anas gibberifrons (Sunda Teal) is a species of birds in the family Anatidae. They are listed as near threatened by IUCN. They are associated with freshwater habitat. They are found in australasia and the indo-malayan realm. They are diurnal herbivores. They rely on flight and drag powered swimming to move around.,tympanic middle ear,australasia,489 g,,Indonesia,"freshwater,freshwater habitat",,flight,,Stable,corneal eyes,,,,,Poaceae (True grasses),,,Unknown,,freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sunda thrush,Animalia,Chordata,Aves,https://eol.org/pages/1052835,Zoothera andromedae (Sunda Thrush) is a species of birds in the family thrushes. They are found in the indo-malayan realm and australasia. They rely on flight to move around.,tympanic middle ear,the indo-malayan realm,108 g,Greater Negros-Panay Rain Forests,The Philippines,"tropical,terrestrial",10 dB,bipedal movement,apatite,Decreasing,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sunda warbler,Animalia,Chordata,Aves,https://eol.org/pages/52571065,Phylloscopus grammiceps (Sunda Warbler) is a species of birds in the family Phylloscopidae. They rely on flight to move around.,tympanic middle ear,,,,,,10 dB,flight,apatite,,corneal eyes,,,,,,,,,,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sungrebe,Animalia,Chordata,Aves,https://eol.org/pages/45510665,Heliornis fulica (Sungrebe) is a species of birds in the family sungrebes. They are associated with freshwater habitat. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,132 g,Caatinga,United States,"coastal,terrestrial",20 dB,flight,apatite,Decreasing,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sunset lorikeet,Animalia,Chordata,Aves,https://eol.org/pages/311600,Trichoglossus forsteni (Scarlet Breasted Lorikeet) is a species of birds in the family Psittaculidae. They are listed as endangered by IUCN. They rely on flight to move around.,otoliths,,,,Indonesia,terrestrial,20 dB,bipedal movement,apatite,Decreasing,corneal eyes,endangered,,,,,,,,,,,,1000 Hz,,,,,,,,,,,,,,,,,Beak and feather disease virus,,,,,,,,,,,,,,,,
0,Superb fairywren,Animalia,Chordata,Aves,https://eol.org/pages/45518065,Malurus cyaneus (Superb Fairy Wren) is a species of birds in the family Maluridae. They are found in australasia. They rely on flight to move around.,tympanic middle ear,australasia,,,South Pacific,"coastal,terrestrial",,flight,,Stable,corneal eyes,,,,,,,,,,,Mantidae (praying mantises),,,,,,,,10.4 years,,,10.4 g,,,,,,,,,365 days,,,,,,,,,,,,,,,
0,Superb fruit dove,Animalia,Chordata,Aves,https://eol.org/pages/45516287,Ptilinopus superbus (Superb Fruit Dove) is a species of birds in the family Columbidae. They are found in australasia and the indo-malayan realm. They are diurnal. They rely on flight to move around.,tympanic middle ear,australasia,144 g,,United States,terrestrial,20 dB,flight,apatite,Decreasing,corneal eyes,,,,,Polyscias murrayi (F. Muell.) Harms,,,,,,,,,,,,,,,,,,,,diurnal,,,,,,,,,,,,,,,,,,,,,
0,Superb lyrebird,Animalia,Chordata,Aves,https://eol.org/pages/45518048,Menura novaehollandiae (Superb Lyrebird) is a species of birds in the family lyrebirds. They are found in australasia. They are diurnal. They have parental care (female provides care). They rely on flight to move around.,tympanic middle ear,australasia,973 g,,Australia,"subtropical,terrestrial",,flight,,Decreasing,corneal eyes,,,,,,,,,,terrestrial,,invertivore,,,,,,,,,,,,,diurnal,,,,,,,,,,,,,,,,,,,,,
0,Superb parrot,Animalia,Chordata,Aves,https://eol.org/pages/45518026,Polytelis swainsonii (Barraband Parakeet) is a species of birds in the family Psittaculidae. They are listed in cites appendix ii. They are found in australasia. They rely on flight to move around.,tympanic middle ear,australasia,,,Australia,,,flight,,Increasing,corneal eyes,,,,,Poaceae (True grasses),,,,,,,,,15.7 mm,19 mm,10.83 degrees celsius,,,15.1 years,,,153 g,,,,,,,,,,,,,,,,,,,,,,,,
0,Superb pitta,Animalia,Chordata,Aves,https://eol.org/pages/45518039,Pitta superba (Superb Pitta) is a species of birds in the family pittas. They are listed as endangered by IUCN. They are found in australasia. They rely on flight to move around.,tympanic middle ear,australasia,,Admiralty Islands Lowland Rain Forests,South Pacific,terrestrial,10 dB,flight,apatite,Decreasing,corneal eyes,endangered,,,,,,,,,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Superb starling,Animalia,Chordata,Aves,https://eol.org/pages/45515515,Lamprotornis superbus (Superb Starling) is a species of birds in the family starlings. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,Afrotropics,77 g,Ethiopian Xeric Grasslands And Shrublands,United States,"arid,terrestrial",10 dB,bipedal movement,apatite,Unknown,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Superb sunbird,Animalia,Chordata,Aves,https://eol.org/pages/45514915,Cinnyris superbus (Superb Sunbird) is a species of birds in the family Sunbirds. They rely on flight to move around.,tympanic middle ear,,20.6 g,,Angola,"tropical,freshwater habitat",10 dB,bipedal movement,apatite,Decreasing,corneal eyes,,,,,,,,,,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Superciliaried hemispingus,Animalia,Chordata,Aves,https://eol.org/pages/921791,Hemispingus superciliaris (Superciliaried Hemispingus) is a species of birds in the family tanagers. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,17.2 g,Cauca Valley Montane Forests,Bolivia,tropical,10 dB,bipedal movement,apatite,,corneal eyes,,,,,,,,,,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Superciliated wren,Animalia,Chordata,Aves,https://eol.org/pages/1052995,Cantorchilus superciliaris (Superciliated Wren) is a species of birds in the family wrens. They rely on flight to move around.,tympanic middle ear,,,,Ecuador,"woodland,terrestrial",10 dB,bipedal movement,apatite,Unknown,corneal eyes,,,,,,,,,,,,,5000 Hz,,,,,,,,,,,,,,,,,,,1.307 pg,,,,,,,,,,,,,,
0,Surf scoter,Animalia,Chordata,Aves,https://eol.org/pages/45510593,Melanitta perspicillata (Surf Scoter) is a species of birds in the family Anatidae. They are associated with freshwater habitat. They are found in The Nearctic. They rely on flight and drag powered swimming to move around.,tympanic middle ear,The Nearctic,,,North America,temperate,,flight,,Decreasing,corneal eyes,,,,,Littorina (Periwinkle snails),,,,,,Leukoma staminea (Conrad 1837),,,,,,nectonic,,9.5 years,,,1097.5 g,,,,,,,,,,,,,,,,,,,,,,,,
0,Surfbird,Animalia,Chordata,Aves,https://eol.org/pages/52571451,Calidris virgata (Surfbird) is a species of birds in the family Scolopacidae. They rely on flight to move around.,tympanic middle ear,,,,United States,"scree,marine",20 dB,bipedal movement,apatite,Decreasing,corneal eyes,,,,,Mytilus californianus Conrad 1837 (California mussel),,,,,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Surucua trogon,Animalia,Chordata,Aves,https://eol.org/pages/1178433,Trogon surrucura (Southern Surucua Trogon) is a species of birds in the family Trogonidae. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,78 g,,South Atlantic,terrestrial,20 dB,flight,apatite,Decreasing,corneal eyes,,,,,Fuchsia (fuchsia),,,,,,,,,,,,,,,,,,,,,,,,,,,,Clusia (attorney),,,,,,,,,,,,,
0,Swahili sparrow,Animalia,Chordata,Aves,https://eol.org/pages/45515598,Passer suahelicus (Swahili Sparrow) is a species of birds in the family Old World sparrows. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,Afrotropics,,Central Zambezian Miombo Woodlands,Kenya,"savanna,terrestrial",10 dB,bipedal movement,apatite,Stable,corneal eyes,,,,,Commiphora schimperi (O. Berg) Engl. (Glossy-leaved corkwood),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Swainsons flycatcher,Animalia,Chordata,Aves,https://eol.org/pages/45513285,Myiarchus swainsoni (Swainson's Flycatcher) is a species of birds in the family tyrant flycatchers. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,28.9 g,Mato Grosso Seasonal Forests,Aruba,"tropical,terrestrial",10 dB,flight,apatite,Stable,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Swainsons hawk,Animalia,Chordata,Aves,https://eol.org/pages/45511424,"Buteo swainsoni (Swainson's Hawk) is a species of birds in the family Accipitridae. They are listed in cites appendix ii. They are native to United States, The Neotropics, and The Nearctic. They rely on flight to move around.",,The Nearctic,,,United States,,,flight,,Stable,,,"University Museum of Zoology, Cambridge",bilaterally symmetric,,,,United States,,,,,,,,,,,,24.9 years,1 /year,28 days,,106.6 degrees fahrenheit,,,,,,,,,,,0.158 /day,,,,,,,,,,,,
0,Swainsons sparrow,Animalia,Chordata,Aves,https://eol.org/pages/45515596,Passer swainsonii (Abyssinian Gray Headed Sparrow) is a species of birds in the family Old World sparrows. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,Afrotropics,35.2 g,Ethiopian Xeric Grasslands And Shrublands,Eritrea,terrestrial,10 dB,bipedal movement,apatite,Stable,corneal eyes,,,,,,,,,,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Swainsons thrush,Animalia,Chordata,Aves,https://eol.org/pages/45510210,Catharus ustulatus (Swainson's Thrush) is a species of birds in the family thrushes. They are found in The Nearctic and The Neotropics. They are diurnal. They rely on flight to move around.,,The Nearctic,,,California,forest,,flight,,,,,,,,,,,,,,,insectivore,,,,,,,11 years,1 /year,12 days,27.9 g,,,,,,,,,,1.488 pg,Sideroxylon (bully),0.624 /day,,,,,,,,,,,,
0,Swainsons warbler,Animalia,Chordata,Aves,https://eol.org/pages/45511072,Limnothlypis swainsonii (Swainson's Warbler) is a species of birds in the family New World warblers. They are native to United States. They are diurnal. They have parental care (pair provides care). They rely on flight to move around.,,The Nearctic,,,United States,mountain,,flight,,Increasing,,,,,,,,United States,,,terrestrial,,invertivore,,,,,,,9.9 years,1 /year,14 days,13.5 g,,,,,,,,,,,,,,,,,,,,,,,,
0,Swallow tanager,Animalia,Chordata,Aves,https://eol.org/pages/45510437,Tersina viridis (Cersine Bleue) is a species of birds in the family tanagers. They are found in The Neotropics. They are diurnal. They have parental care (pair provides care). They rely on flight to move around.,tympanic middle ear,The Neotropics,29 g,,United States,terrestrial,,flight,,Stable,corneal eyes,,"University Museum of Zoology, Cambridge",,,Myrsine coriacea (Sw.) R. Br. (leathery colicwood),,,,,terrestrial,,frugivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Swallowtailed gull,Animalia,Chordata,Aves,https://eol.org/pages/45509264,Creagrus furcatus (Swallow Tailed Gull) is a species of birds in the family Laridae. They are found in The Neotropics. They are nocturnal. They rely on flight to move around.,tympanic middle ear,The Neotropics,,,United States,coastal,,flight,,Unknown,corneal eyes,,,,,Sthenoteuthis oualaniensis (Lesson) (purpleback flying squid),,,,,,,,,50.4 mm,,24.55 degrees celsius,nectonic,,,,,,,,,,,,,,,,,,100 mm,,,,,,,,,,,
0,Swallowtailed kite,Animalia,Chordata,Aves,https://eol.org/pages/45511387,"Elanoides forficatus (Accipiter Cauda Furcata) is a species of birds in the family Accipitridae. They are listed in cites appendix ii. They are native to The Nearctic and The Neotropics. They are solitary, diurnal carnivores. They have parental care (pair provides care, paternal care, and female provides care). They rely on flight and gliding to move around.",,The Neotropics,,,United States,,,flight,,Increasing,,,,bilaterally symmetric,birds,,monogamous,The Nearctic,protection,solitary,terrestrial,,invertivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Swamp boubou,Animalia,Chordata,Aves,https://eol.org/pages/45515204,Laniarius bicolor (Gabon Boubou) is a species of birds in the family Bushshrike. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,Afrotropics,65 g,Angolan Scarp Savanna And Woodlands,Mozambique,"scrubland,freshwater habitat",10 dB,bipedal movement,apatite,Decreasing,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Swamp flycatcher,Animalia,Chordata,Aves,https://eol.org/pages/45514721,Muscicapa aquatica (Swamp Alseonax) is a species of birds in the family Old World flycatchers. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,Afrotropics,12.5 g,,North Atlantic,"swamp,freshwater habitat",10 dB,flight,apatite,Stable,corneal eyes,,Staatliches Museum fuer Naturkund Stuttgart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Swamp francolin,Animalia,Chordata,Aves,https://eol.org/pages/45515950,Francolinus gularis (Swamp Francolin) is a species of birds in the family Phasianidae. They are listed as vulnerable by IUCN. They are found in the indo-malayan realm. They rely on flight to move around.,tympanic middle ear,the indo-malayan realm,510 g,,India,"swamp,terrestrial",,bipedal movement,apatite,Decreasing,corneal eyes,vulnerable,(UMMZ) - UMMZ Birds Collection {http://www.lsa.umich.edu/ummz/birds/},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Swamp grass babbler,Animalia,Chordata,Aves,https://eol.org/pages/38587022,Laticilla cinerascens (Swamp Grass Babbler) is a species of birds in the family Pellorneidae. They rely on flight to move around.,tympanic middle ear,,,,India,,10 dB,flight,apatite,,corneal eyes,,,,,,,,,,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Swamp harrier,Animalia,Chordata,Aves,https://eol.org/pages/45518724,"Circus approximans (Swamp Harrier (Australasian)) is a species of birds in the family Accipitridae. They are listed in cites appendix ii. They are found in australasia and Oceania continent (Australia, NZ and islands). They rely on flight to move around.",tympanic middle ear,australasia,1035 g,,Tonga,"marsh,freshwater habitat",,flight,,Stable,corneal eyes,cites appendix ii,,,,Lepus (Eulagos) europaeus Pallas 1778 (common hare),,,,,,Lepus (Eulagos) europaeus Pallas 1778 (common hare),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Swamp nightjar,Animalia,Chordata,Aves,https://eol.org/pages/45514031,Caprimulgus natalensis (Natal Nightjar) is a species of birds in the family Caprimulgidae. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,Afrotropics,110 g,Niger Delta Swamp Forests,South Atlantic,"coastal,freshwater habitat",20 dB,flight,apatite,Decreasing,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Swamp palm bulbul,Animalia,Chordata,Aves,https://eol.org/pages/45514362,Thescelocichla leucopleura (Swamp Greenbul) is a species of birds in the family bulbuls. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,Afrotropics,70 g,Mount Cameroon And Bioko Montane Forests,South Atlantic,"savanna,terrestrial",10 dB,flight,apatite,Stable,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Swamp sparrow,Animalia,Chordata,Aves,https://eol.org/pages/45511188,Melospiza georgiana (Swamp Sparrow) is a species of birds in the family Passerellidae. They are native to The Nearctic. They are diurnal. They rely on flight to move around.,,The Nearctic,,,New York,swamp,,flight,,Increasing,,,,bilaterally symmetric,,,,The Nearctic,,,,,,,,,,,,7.8 years,1.5 /year,13 days,1.46 g,,,,,,,,,,,,,,0.211 watts,,,,,,,,,,
0,Swan goose,Animalia,Chordata,Aves,https://eol.org/pages/45515903,"Anser cygnoides (Swan Goose) is a species of birds in the family Anatidae. They are associated with freshwater habitat. They are native to the Palearctic. They are crepuscular herbivores. They have parental care (female provides care and paternal care). They rely on swimming, drag powered swimming, gliding, and flight to move around.",,the indo-malayan realm,,,United States,steppe,,gliding,,,,,,bilaterally symmetric,roots,,monogamous,the Palearctic,parental care,group living,,,folivore,,,,,,,,,,,,,,,,,,,,,,,,,pest control,,,,,,,,,
0,Swee waxbill,Animalia,Chordata,Aves,https://eol.org/pages/45515674,Coccopygia melanotis (Swee Waxbill) is a species of birds in the family Estrildid finches. They rely on flight to move around.,tympanic middle ear,,,,Mozambique,marine,10 dB,bipedal movement,apatite,,corneal eyes,,,,,Poa annua L. (Annual Meadow-grass),,,,,,,,5000 Hz,,,,,,,,,,,Haemoproteus,,,,,,,,,,,,,,Plasmodium subgen. Plasmodium,,,,,,,,
0,Swift parrot,Animalia,Chordata,Aves,https://eol.org/pages/45518003,Lathamus discolor (Swift Parrot) is a species of birds in the family Psittaculidae. They are listed as critically endangered by IUCN and in cites appendix ii. They are found in australasia. They rely on flight to move around.,tympanic middle ear,australasia,,,Australia,lake,,flight,,Decreasing,corneal eyes,,,,,Glycaspis brimblecombei Moore 1964 (Red gum lerp psyllid),,,,,,,,,12.1 mm,13.9 mm,3.93 degrees celsius,,,,,21 days,,,,,,,,,,,,,,,,,,,,,,,,,
0,Swinhoes minivet,Animalia,Chordata,Aves,https://eol.org/pages/45516784,Pericrocotus cantonensis (Brown Rumped Minivet) is a species of birds in the family cuckoo-shrikes. They are found in the palearctic and the indo-malayan realm. They rely on flight to move around.,tympanic middle ear,the palearctic,,,Vietnam,"subtropical,terrestrial",10 dB,flight,apatite,Decreasing,corneal eyes,,NHMUK,,,Gironniera nervosa Planch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Swinhoes pheasant,Animalia,Chordata,Aves,https://eol.org/pages/45516020,Lophura swinhoii (Swinhoe's Pheasant) is a species of birds in the family Phasianidae. They are listed as near threatened by IUCN and in cites appendix i. They are found in the indo-malayan realm. They rely on flight to move around.,tympanic middle ear,the indo-malayan realm,1100 g,,United States,"mountain,terrestrial",,flight,apatite,Decreasing,corneal eyes,near threatened,,,,Melastoma malabathricum L. (Malabar melastome),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Swinhoes rail,Animalia,Chordata,Aves,https://eol.org/pages/45516082,Coturnicops exquisitus (Asian Yellow Rail) is a species of birds in the family rails. They are listed as vulnerable by IUCN. They are associated with freshwater habitat. They are found in the indo-malayan realm and the palearctic. They rely on flight to move around.,tympanic middle ear,the indo-malayan realm,,,North Pacific,"freshwater,freshwater habitat",20 dB,flight,apatite,Decreasing,corneal eyes,vulnerable,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Swinhoes snipe,Animalia,Chordata,Aves,https://eol.org/pages/45513586,"Gallinago megala (Swinhoe's Snipe) is a species of birds in the family Scolopacidae. They are associated with freshwater habitat. They are found in australasia, the indo-malayan realm, Oceania continent (Australia, NZ and islands), and the palearctic. They rely on flight to move around.",tympanic middle ear,australasia,8 oz,,North Pacific,"freshwater,terrestrial",20 dB,flight,apatite,Unknown,corneal eyes,,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Swinhoes storm petrel,Animalia,Chordata,Aves,https://eol.org/pages/45509014,Oceanodroma monorhis (Swinhoe's Storm Petrel) is a species of birds in the family storm petrels. They are diurnal. They have parental care (pair provides care). They rely on flight to move around.,tympanic middle ear,,40 g,,Somalia,marine,20 dB,flight,apatite,,corneal eyes,,,,,,,,,,marine pelagic,,vertivore,5000 Hz,,,,nectonic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Swinhoes whiteeye,Animalia,Chordata,Aves,https://eol.org/pages/52571288,"Zosterops simplex (Swinhoe's White Eye) is a species of birds in the family white-eyes. They visit flowers of Coral Tree, swampmahogany, Firecracker Plant, and flamegold. They rely on flight to move around.",tympanic middle ear,,,,,"coastal,terrestrial",10 dB,flight,apatite,Decreasing,corneal eyes,,NHMUK,,,Pittosporum pentandrum (Blanco) Merr. (Taiwanese cheesewood),,,,,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,Erythrina (Coral Tree),,,,,,,
0,Swynnertons robin,Animalia,Chordata,Aves,https://eol.org/pages/45514758,Swynnertonia swynnertoni (Swynnerton's Forest Robin) is a species of birds in the family Old World flycatchers. They are listed as vulnerable by IUCN. They are native to Ethiopia. They are diurnal carnivores. They have parental care (female provides care). They rely on flight to move around.,tympanic middle ear,Afrotropics,,,Mozambique,subtropical,,flight,,Decreasing,corneal eyes,,,bilaterally symmetric,arthropods,,,Ethiopia,protection,,,,insectivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Syrian serin,Animalia,Chordata,Aves,https://eol.org/pages/45515750,Serinus syriacus (Syrian Serin) is a species of birds in the family finches. They are listed as vulnerable by IUCN. They are found in the palearctic. They rely on flight to move around.,tympanic middle ear,the palearctic,13 g,Middle East Steppe,Jordan,terrestrial,10 dB,bipedal movement,apatite,Decreasing,corneal eyes,vulnerable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Syrian woodpecker,Animalia,Chordata,Aves,https://eol.org/pages/45513618,Dendrocopos syriacus (Syrian Woodpecker) is a species of birds in the family woodpeckers. They are found in the palearctic. They rely on flight to move around.,tympanic middle ear,the palearctic,81 g,,Ukraine,terrestrial,,flight,apatite,Stable,corneal eyes,,,,,Juglans regia L. (walnut),,,,,,,,,,,,,,10.9 years,,,76.8 g,,,,,,,,,,,,,,,,,,,,,,,,
0,Szechenyis monalpartridge,Animalia,Chordata,Aves,https://eol.org/pages/45515941,Tetraophasis szechenyii (Szechenyi's Monal Partridge) is a species of birds in the family Phasianidae. They are found in the indo-malayan realm and the palearctic. They rely on flight to move around.,tympanic middle ear,the indo-malayan realm,1500 g,Nujiang Langcang Gorge Alpine Conifer And Mixed Forests,China,"coniferous forest,terrestrial",20 dB,bipedal movement,apatite,Unknown,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Tablas drongo,Animalia,Chordata,Aves,https://eol.org/pages/45516863,Dicrurus menagei (Tablas Drongo) is a species of birds in the family drongos. They are listed as endangered by IUCN. They rely on flight to move around.,tympanic middle ear,,,,The Philippines,terrestrial,10 dB,flight,apatite,Decreasing,corneal eyes,endangered,,,,,,,,,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Tablas fantail,Animalia,Chordata,Aves,https://eol.org/pages/32741257,Rhipidura sauli (Tablas Fantail) is a species of birds in the family Rhipiduridae. They rely on flight to move around.,tympanic middle ear,,,,,,10 dB,flight,apatite,,corneal eyes,,,,,,,,,,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Tabora cisticola,Animalia,Chordata,Aves,https://eol.org/pages/45514504,Cisticola angusticauda (Long Tailed Cisticola) is a species of birds in the family African warblers. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,Afrotropics,,Victoria Basin Forest-Savanna Mosaic,Angola,"savanna,terrestrial",10 dB,bipedal movement,apatite,Stable,corneal eyes,,,,,,,,,,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
