,Common Name,Kingdom,Phylum,Class,Link,Description,auditory system,biogeographic realm,body mass,ecoregion,geographic distribution includes,habitat,hearing threshold,locomotion,mineralized skeleton contains,population trend,visual system,conservation status,type specimen repository,body shape,diet includes,eats,mating system,native range includes,parental care,social system,foraging habitat,preys on,trophic guild,hearing range,bill length,tarsus length,temperature at range midpoint latitude,ecomorphological guild,body length,life span,litters per year,prenatal development duration,weight,body temperature,parasitized by,behavioral circadian rhythm,sensory system,number of public records in bold,has ectoparasite,host of,has pathogen,onset of fertility,genome size,mutualistic with,growth rate,tarsometatarsus + middle toe length,basal metabolic rate,used for,has endoparasite,visits flowers of,is vector for,clutch/brood/litter size,is eaten by,developmental mode,wing morphology,egg mass,has host
0,Variegated bristle tyrant,Animalia,Chordata,Aves,https://eol.org/pages/45513046,Pogonotriccus poecilotis (Variegated Bristle Tyrant) is a species of birds in the family tyrant flycatchers. They rely on flight to move around.,tympanic middle ear,,,,Colombia,"subtropical,terrestrial",10 dB,bipedal movement,apatite,Stable,corneal eyes,,,,,,,,,,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Variegated fairywren,Animalia,Chordata,Aves,https://eol.org/pages/45518062,Malurus lamberti (Variegated Fairy Wren) is a species of birds in the family Maluridae. They are found in australasia. They rely on flight to move around.,tympanic middle ear,australasia,,Australian Alps Montane Grasslands,South Pacific,"scrubland,terrestrial",10 dB,flight,apatite,Stable,corneal eyes,,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Variegated flycatcher,Animalia,Chordata,Aves,https://eol.org/pages/45510920,Empidonomus varius (Variegated Flycatcher) is a species of birds in the family tyrant flycatchers. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,27.1 g,,United States,terrestrial,10 dB,flight,apatite,Stable,corneal eyes,,NHMUK,,,Myrsine (colicwood),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Variegated laughingthrush,Animalia,Chordata,Aves,https://eol.org/pages/45517238,Trochalopteron variegatum (Variegated Laughingthrush) is a species of birds in the family Leiothrichidae. They rely on flight to move around.,tympanic middle ear,,,,India,terrestrial,10 dB,bipedal movement,apatite,Decreasing,corneal eyes,,,,,,,,,,,,,5000 Hz,,,,,,,,,,,Haemoproteus,,,,,,,,,,,,,,,,,,,,,,
0,Variegated tinamou,Animalia,Chordata,Aves,https://eol.org/pages/45511978,Crypturellus variegatus (Variegated Tinamou) is a species of birds in the family tinamous. They are found in The Neotropics. They are diurnal.,tympanic middle ear,The Neotropics,423 g,,South Pacific,"tropical,terrestrial",,bipedal movement,apatite,Decreasing,corneal eyes,,(CM) - CM Birds Collection {http://www.carnegiemnh.org/birds/index.html},,,,,,,,,,,,,,,,,,,,,,,diurnal,,,,,,,,,,,,,,,,,,,,,
0,Varzea piculet,Animalia,Chordata,Aves,https://eol.org/pages/1177564,Picumnus varzeae (Varzea Piculet) is a species of birds in the family woodpeckers. They are listed as endangered by IUCN. They are associated with freshwater habitat. They are found in The Neotropics. They rely on flight to move around.,otoliths,The Neotropics,,Monte Alegre Varzea,Brazil,"swamp forest,terrestrial",20 dB,bipedal movement,apatite,Stable,corneal eyes,endangered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Varzea schiffornis,Animalia,Chordata,Aves,https://eol.org/pages/917464,Schiffornis major (Greater Schiffornis) is a species of birds in the family Tityridae. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,31 g,Ucayali Moist Forests,Bolivia,terrestrial,10 dB,bipedal movement,apatite,Decreasing,corneal eyes,,,,,,,,,,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Várzea thrush,Animalia,Chordata,Aves,https://eol.org/pages/28355002,Turdus sanchezorum (Varzea Thrush) is a species of birds in the family thrushes. They rely on flight to move around.,tympanic middle ear,,,,Peru,,10 dB,flight,apatite,,corneal eyes,,,,,,,,,,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Vauries nightjar,Animalia,Chordata,Aves,https://eol.org/pages/45518786,Caprimulgus centralasicus (Vaurie's Nightjar) is a species of birds in the family Caprimulgidae. They are found in the palearctic. They rely on flight to move around.,tympanic middle ear,the palearctic,,Taklimakan Desert,,"steppe,terrestrial",20 dB,bipedal movement,apatite,Unknown,corneal eyes,,NHMUK,,,,,,,,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Vauxs swift,Animalia,Chordata,Aves,https://eol.org/pages/45510766,Chaetura vauxi (Vaux's Swift) is a species of birds in the family swifts. They are native to The Neotropics and The Nearctic. They rely on flight to move around.,,The Nearctic,,,United States,mountain,,flight,,Decreasing,,,,bilaterally symmetric,,,,The Neotropics,,,,,,,,,,,,,1 /year,19 days,17 g,,,,,,,,,,1.209 pg,,0.4 /day,,,,,,,,,,,,
