,Common Name,Kingdom,Phylum,Class,Link,Description,auditory system,biogeographic realm,body mass,eats,geographic distribution includes,habitat,hearing threshold,locomotion,mineralized skeleton contains,population trend,visual system,ecoregion,hearing range,conservation status,type specimen repository,mutualistic with,is vector for,body shape,litters per year,native range includes,prenatal development duration,weight,ecomorphological guild,life span,parasitized by,has endoparasite,preys on,bill length,tarsus length,temperature at range midpoint latitude,foraging habitat,trophic guild,genome size,behavioral circadian rhythm,body temperature,diet includes,mating system,social system,Leaf Complexity,leaf morphology,life cycle habit,photosynthetic pathway,plant growth form,plant lifeform,produces,seed dry mass,basal metabolic rate,growth rate,body length,has ectoparasite,has pathogen,parental care,visits flowers of,sensory system,mineralized tissue contains,reproduction,Total length,water depth,preyed upon by,clutch/brood/litter size,onset of fertility,is eaten by,used for,number of public records in bold,after harvest regrowth rate,anaerobic soil tolerance,bloom period,calcareous soil tolerance,fire resistance,fire tolerance,fruit or seed color,planting density,precipitation tolerance,seeds per pound,has host,pathogen of,visits,egg mass,tarsometatarsus + middle toe length,initial mortality rate,mortality rate doubling time,host of,is killed by,middle toe length
0,Green thorntail,Animalia,Chordata,Aves,https://eol.org/pages/45509540,Discosura conversii (Green Thorntail) is a species of birds in the family hummingbirds. They are listed in cites appendix ii. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,3 g,,Costa Rica,"cloud forest,terrestrial",20 dB,bipedal movement,apatite,Decreasing,corneal eyes,,,cites appendix ii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Green tinkerbird,Animalia,Chordata,Aves,https://eol.org/pages/1177710,Pogoniulus simplex (Green Tinkerbird) is a species of birds in the family African barbets. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,Afrotropics,10.5 g,,Mozambique,"savanna,terrestrial",,bipedal movement,,Decreasing,corneal eyes,,,,,,,,,,,,,,,,,10.15 mm,13.3 mm,18.79 degrees celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Green warbler,Animalia,Chordata,Aves,https://eol.org/pages/45513674,Phylloscopus nitidus (Green Warbler) is a species of birds in the family Phylloscopidae. They are found in the palearctic. They rely on flight to move around.,tympanic middle ear,the palearctic,,,Afghanistan,,10 dB,bipedal movement,apatite,,corneal eyes,caspian hyrcanian mixed forests,5000 Hz,,,,,,,,,,,,Haemoproteus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Green warblerfinch,Animalia,Chordata,Aves,https://eol.org/pages/1050315,Certhidea olivacea (Green Warbler Finch) is a species of birds in the family tanagers. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,12 g,Zanthoxylum fagara (L.) Sarg. (lime pricklyash),Ecuador,tropical,10 dB,flight,apatite,,corneal eyes,GaláPagos Islands Scrubland Mosaic,,,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Green whiteeye,Animalia,Chordata,Aves,https://eol.org/pages/52571294,Zosterops stuhlmanni (Green White Eye) is a species of birds in the family white-eyes. They rely on flight to move around.,tympanic middle ear,,,,,,10 dB,flight,apatite,,corneal eyes,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Green wood hoopoe,Animalia,Chordata,Aves,https://eol.org/pages/45514088,Phoeniculus purpureus (Green Wood Hoopoe) is a species of birds in the family woodhoopoes. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,Afrotropics,66.3 g,Termitidae (higher termites),South Atlantic,"lake,terrestrial",,flight,,Decreasing,corneal eyes,,,,,,Commiphora (myrrh),,,,,,,,,,,,,,,,1.319 pg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Greencapped eremomela,Animalia,Chordata,Aves,https://eol.org/pages/45514611,Eremomela scotops (Green Capped Eremomela) is a species of birds in the family African warblers. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,Afrotropics,11 g,,Mozambique,"savanna,terrestrial",10 dB,flight,apatite,Stable,corneal eyes,,,,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Greenish elaenia,Animalia,Chordata,Aves,https://eol.org/pages/45510879,Myiopagis viridicata (Greenish Elaenia) is a species of birds in the family tyrant flycatchers. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,,Davilla kunthii A. St.-Hil.,United States,"tropical,terrestrial",10 dB,flight,apatite,Stable,corneal eyes,PatíA Valley Dry Forests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Greenish puffleg,Animalia,Chordata,Aves,https://eol.org/pages/45509626,Haplophaedia aureliae (Greenish Puffleg) is a species of birds in the family hummingbirds. They are listed in cites appendix ii. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,6 g,,Colombia,"tropical,terrestrial",,bipedal movement,apatite,Stable,corneal eyes,,,cites appendix ii,,,,,,,,,,,,,,,,,,,1.108 pg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Greenish schiffornis,Animalia,Chordata,Aves,https://eol.org/pages/917467,Schiffornis virescens (Greenish Schiffornis) is a species of birds in the family Tityridae. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,27 g,Solanum americanum Mill. (American black nightshade),South Atlantic,"montane forest,terrestrial",,flight,,Decreasing,corneal eyes,,,,"Harvard UNiversity, Museum of Comparative Zoology",Miconia (johnnyberry),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Greenish tyrannulet,Animalia,Chordata,Aves,https://eol.org/pages/45512957,Phyllomyias virescens (Greenish Tyrannulet) is a species of birds in the family tyrant flycatchers. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,12 g,,Brazil,"subtropical,terrestrial",10 dB,bipedal movement,apatite,Decreasing,corneal eyes,Alto Paraná Atlantic Forests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Greenish warbler,Animalia,Chordata,Aves,https://eol.org/pages/45513675,Phylloscopus trochiloides (Greenish Warbler) is a species of birds in the family Phylloscopidae. They are found in the palearctic and the indo-malayan realm. They are diurnal. They have parental care (pair provides care). They rely on flight to move around.,tympanic middle ear,the palearctic,8 g,,Indian Ocean,mixed forest,10 dB,flight,apatite,,corneal eyes,Northwestern Thorn Scrub Forests,,,,,,,,,,,,,,,,,,,terrestrial,invertivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Greenish yellow finch,Animalia,Chordata,Aves,https://eol.org/pages/1050272,Sicalis olivascens (Greenish Yellow Finch) is a species of birds in the family tanagers. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,24.2 g,,Bolivia,subtropical,10 dB,bipedal movement,apatite,,corneal eyes,Central Andean Wet Puna,5000 Hz,,,,,,,,,,,,,,,,,,,,1.32 pg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Grenada dove,Animalia,Chordata,Aves,https://eol.org/pages/45509419,Leptotila wellsi (Grenada Dove) is a species of birds in the family Columbidae. They are listed as critically endangered by IUCN. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,200 g,,Grenada,"tropical,terrestrial",20 dB,flight,apatite,Decreasing,corneal eyes,,,critically endangered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Grenada flycatcher,Animalia,Chordata,Aves,https://eol.org/pages/920897,Myiarchus nugator (Grenada Flycatcher) is a species of birds in the family tyrant flycatchers. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,37 g,,Grenada,"tropical,terrestrial",10 dB,bipedal movement,apatite,Decreasing,corneal eyes,Lesser Antillean Dry Forests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Grey antbird,Animalia,Chordata,Aves,https://eol.org/pages/45512749,Cercomacra cinerascens (Gray Antbird) is a species of birds in the family typical antbirds. They are found in The Neotropics. They are diurnal. They rely on flight to move around.,tympanic middle ear,The Neotropics,15.7 g,,South Pacific,"subtropical,terrestrial",10 dB,flight,apatite,Decreasing,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,diurnal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Grey antwren,Animalia,Chordata,Aves,https://eol.org/pages/45512700,Myrmotherula menetriesii (Gray Antwren) is a species of birds in the family typical antbirds. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,8.6 g,,South Pacific,"subtropical,terrestrial",10 dB,flight,apatite,Decreasing,corneal eyes,Monte Alegre Varzea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Grey apalis,Animalia,Chordata,Aves,https://eol.org/pages/45514571,Apalis cinerea (Grey Apalis) is a species of birds in the family African warblers. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,Afrotropics,11 g,,Angola,tropical,10 dB,bipedal movement,apatite,,corneal eyes,Masai Xeric Grasslands And Shrublands,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Grey bunting,Animalia,Chordata,Aves,https://eol.org/pages/45511175,Emberiza variabilis (Gray Bunting) is a species of birds in the family New World sparrows. They are found in the palearctic. They rely on flight to move around.,tympanic middle ear,the palearctic,30 g,,Russia,"temperate,terrestrial",10 dB,bipedal movement,apatite,Stable,corneal eyes,Trans-Baikal Bald Mountain Tundra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Grey bush chat,Animalia,Chordata,Aves,https://eol.org/pages/45517579,Saxicola ferreus (Grey Bush Chat) is a species of birds in the family Old World flycatchers. They rely on flight to move around.,tympanic middle ear,,16 g,Berberis wallichiana DC.,Bhutan,"montane forest,terrestrial",10 dB,bipedal movement,apatite,Stable,corneal eyes,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Grey butcherbird,Animalia,Chordata,Aves,https://eol.org/pages/45518176,Cracticus torquatus (Grey Butcherbird) is a species of birds in the family woodswallows. They are found in australasia. They rely on flight to move around.,tympanic middle ear,australasia,,Graphium sarpedon (Linnaeus 1758) (Common Bluebottle),North Pacific,coastal,10 dB,flight,apatite,,corneal eyes,Great Victoria Desert,5000 Hz,,,,,,,,,,,,,,CORRUPTED VALUE for trait R20-PK36794282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Grey crested tit,Animalia,Chordata,Aves,https://eol.org/pages/45518803,Lophophanes dichrous (Grey Crested Tit) is a species of birds in the family Paridae. They rely on flight to move around.,tympanic middle ear,,14 g,,Bhutan,"temperate,terrestrial",10 dB,bipedal movement,apatite,Stable,corneal eyes,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Grey crow,Animalia,Chordata,Aves,https://eol.org/pages/45518679,Corvus tristis (Grey Crow) is a species of birds in the family Corvidae. They are found in australasia. They rely on flight to move around.,tympanic middle ear,australasia,635 g,,Indonesia,terrestrial,10 dB,bipedal movement,apatite,Stable,corneal eyes,Trobriand Islands Rain Forests,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Grey crowned crane,Animalia,Chordata,Aves,https://eol.org/pages/1269373,Balearica regulorum regulorum (South African Crowned Crane) is a subspecies of birds in the family cranes. They rely on flight to move around.,tympanic middle ear,,,,Mozambique,,20 dB,flight,apatite,,corneal eyes,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Grey cuckooshrike,Animalia,Chordata,Aves,https://eol.org/pages/57691235,Coracina caesia (Grey Cuckoo Shrike) is a species of  in the family cuckoo-shrikes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Grey currawong,Animalia,Chordata,Aves,https://eol.org/pages/45518187,Strepera versicolor (Grey Currawong) is a species of birds in the family woodswallows. They are found in australasia. They rely on flight to move around.,tympanic middle ear,australasia,500 g,,Indian Ocean,"coastal,terrestrial",10 dB,flight,apatite,Stable,corneal eyes,Central Ranges Xeric Scrub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
