,Common Name,Kingdom,Phylum,Class,Link,Description,auditory system,body mass,eats,ecomorphological guild,geographic distribution includes,habitat,locomotion,mineralized skeleton contains,population trend,preys on,visual system,parasitized by,hearing range,hearing threshold,biogeographic realm,body shape,diet includes,mating system,native range includes,parental care,social system,trophic guild,bill length,life span,tarsus length,temperature at range midpoint latitude,visits flowers of,weight,conservation status,ecoregion,foraging habitat,initial mortality rate,invasive in,litters per year,prenatal development duration,behavioral circadian rhythm,type specimen repository,genome size,has ectoparasite,is vector for,is eaten by,Leaf Complexity,leaf morphology,leaf sheddability,photosynthetic pathway,plant growth form,plant lifeform,produces,visits,has host,parasite of,clutch/brood/litter size,growth rate,basal metabolic rate,mortality rate doubling time,motility,number of public records in bold,sensory system,host of,mineralized tissue contains,reproduction,fruit type,leaf lamina area,leaf mass per area,leaf nitrogen per dry mass,vegetative plant height,preyed upon by,onset of fertility,tarsometatarsus + middle toe length,trophic level,symbiont of,body length,mutualistic with
0,Nazca booby,Animalia,Chordata,Aves,https://eol.org/pages/45509070,Sula granti (Nazca Booby) is a species of birds in the family Sulidae. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,1970 g,Trachurus trachurus (Linnaeus 1758) (Atlantic Horse Mackerel),nectonic,South Pacific,"marine,marine",flight,apatite,Decreasing,,corneal eyes,,,,The Neotropics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Neblina metaltail,Animalia,Chordata,Aves,https://eol.org/pages/45512439,Metallura odomae (Neblina Metaltail) is a species of birds in the family hummingbirds. They are listed in cites appendix ii. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,5.4 g,,,Peru,"montane forest,terrestrial",bipedal movement,apatite,Decreasing,,corneal eyes,,,20 dB,The Neotropics,,,,,,,,,,,,,,cites appendix ii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Neblina tapaculo,Animalia,Chordata,Aves,https://eol.org/pages/45512941,Scytalopus altirostris (Neblina Tapaculo) is a species of birds in the family tapaculos. They rely on flight to move around.,tympanic middle ear,,,,Peru,terrestrial,bipedal movement,apatite,Stable,,corneal eyes,,5000 Hz,10 dB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Nechisar nightjar,Animalia,Chordata,Aves,https://eol.org/pages/45514032,Caprimulgus solala (Nechisar Nightjar) is a species of birds in the family Caprimulgidae. They are listed as vulnerable by IUCN. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,,,,,"subtropical,terrestrial",flight,apatite,Unknown,,corneal eyes,,,20 dB,Afrotropics,,,,,,,,,,,,,,vulnerable,Ethiopian Montane Grasslands And Woodlands,,,,,,,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Necklaced barbet,Animalia,Chordata,Aves,https://eol.org/pages/43002783,Psilopogon auricularis (Necklaced Barbet) is a species of birds in the family Asian barbets. They rely on flight to move around.,tympanic middle ear,,,,,"tropical,terrestrial",flight,apatite,Stable,,corneal eyes,,5000 Hz,20 dB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Necklaced spinetail,Animalia,Chordata,Aves,https://eol.org/pages/1050214,Synallaxis stictothorax (Necklaced Spinetail) is a species of birds in the family ovenbirds. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,10.2 g,,,Ecuador,subtropical,bipedal movement,apatite,,,corneal eyes,,5000 Hz,10 dB,The Neotropics,,,,,,,,,,,,,,,Ecuadorian Dry Forests,,,,,,,,1.334 pg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Neddicky,Animalia,Chordata,Aves,https://eol.org/pages/45514503,Cisticola fulvicapilla (Neddicky) is a species of birds in the family African warblers. They rely on flight to move around.,tympanic middle ear,10.6 g,,,Mozambique,"temperate,terrestrial",bipedal movement,apatite,Stable,,corneal eyes,,5000 Hz,10 dB,,,,,,,,,,,,,,,,,,,,,,,,1.152 pg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Neergaards sunbird,Animalia,Chordata,Aves,https://eol.org/pages/45514886,Cinnyris neergaardi (Neergaard's Sunbird) is a species of birds in the family Sunbirds. They are listed as near threatened by IUCN. They rely on flight to move around.,tympanic middle ear,5.9 g,,,Mozambique,"coastal,terrestrial",bipedal movement,apatite,Decreasing,,corneal eyes,,,10 dB,,,,,,,,,,,,,,,near threatened,,,,,,,,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Negros bleedingheart,Animalia,Chordata,Aves,https://eol.org/pages/45516227,Gallicolumba keayi (Negros Bleeding Heart) is a species of birds in the family Columbidae. They are listed as critically endangered by IUCN. They are found in the indo-malayan realm. They rely on flight to move around.,tympanic middle ear,,,,The Philippines,terrestrial,bipedal movement,apatite,Decreasing,,corneal eyes,,5000 Hz,20 dB,the indo-malayan realm,,,,,,,,,,,,,,critically endangered,Greater Negros-Panay Rain Forests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Negros fruit dove,Animalia,Chordata,Aves,https://eol.org/pages/45516300,Ptilinopus arcanus (Negros Fruit Dove) is a species of birds in the family Columbidae. They are listed as critically endangered by IUCN. They are found in the indo-malayan realm. They rely on flight to move around.,tympanic middle ear,,,,The Philippines,"mountain,terrestrial",bipedal movement,apatite,Decreasing,,corneal eyes,,,20 dB,the indo-malayan realm,,,,,,,,,,,,,,critically endangered,Greater Negros-Panay Rain Forests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
