,Common Name,Kingdom,Phylum,Class,Link,Description,auditory system,biogeographic realm,body mass,ecoregion,geographic distribution includes,habitat,hearing range,hearing threshold,locomotion,mineralized skeleton contains,population trend,visual system,type specimen repository,preys on,behavioral circadian rhythm,eats,conservation status,life span,weight,body shape,foraging habitat,growth rate,litters per year,native range includes,prenatal development duration,trophic guild,diet includes,clutch/brood/litter size,bill length,ecomorphological guild,mating system,social system,tarsometatarsus + middle toe length,tarsus length,temperature at range midpoint latitude,parental care,host of,visits flowers of,parasitized by,has ectoparasite,pathogen of,has host,genome size,is vector for,sensory system,basal metabolic rate,body length,is eaten by,trophic level,has endoparasite,mutualistic with,visits,is killed by,initial mortality rate,motility,onset of fertility,egg mass,body temperature,used for,symbiont of,mortality rate doubling time,harvested in,number of public records in bold,parasite of
0,Cameroon olive greenbul,Animalia,Chordata,Aves,https://eol.org/pages/45514375,Phyllastrephus poensis (Cameroon Olive Greenbul) is a species of birds in the family bulbuls. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,Afrotropics,37.1 g,,Cameroon,"tropical,terrestrial",,10 dB,bipedal movement,apatite,Stable,corneal eyes,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Cameroon olive pigeon,Animalia,Chordata,Aves,https://eol.org/pages/1049702,Columba sjostedti (Cameroon Olive Pigeon) is a species of birds in the family Columbidae. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,Afrotropics,,Cross-Sanaga-Bioko Coastal Forests,Nigeria,terrestrial,5000 Hz,20 dB,flight,apatite,Decreasing,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Cameroon sunbird,Animalia,Chordata,Aves,https://eol.org/pages/45514860,Cyanomitra oritis (Cameroon Sunbird) is a species of birds in the family Sunbirds. They rely on flight to move around.,otoliths,,13.3 g,,Cameroon,freshwater habitat,1000 Hz,10 dB,bipedal movement,apatite,Decreasing,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,Plasmodium subgen. Plasmodium,,,,,,,,,,,,,,,,,,,,,,,,,
0,Camiguin hanging parrot,Animalia,Chordata,Aves,https://eol.org/pages/311769,Loriculus camiguinensis (Camiguin Hanging Parrot) is a species of birds in the family Psittaculidae. They rely on flight to move around.,otoliths,,,,,coastal,1000 Hz,20 dB,bipedal movement,apatite,,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Camiguin hawkowl,Animalia,Chordata,Aves,https://eol.org/pages/32367680,Ninox leventisi (Camiguin Hawk Owl) is a species of birds in the family typical owls. They are listed as endangered by IUCN. They rely on flight to move around.,tympanic middle ear,,,,The Philippines,terrestrial,5000 Hz,-15 dB,flight,apatite,Decreasing,corneal eyes,,,,,endangered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Campbell albatross,Animalia,Chordata,Aves,https://eol.org/pages/45518714,Thalassarche impavida (Campbell Albatross) is a species of birds in the family albatrosses. They are listed as vulnerable by IUCN. They rely on flight to move around.,tympanic middle ear,,,,Australia,"aquatic,marine",,20 dB,bipedal movement,apatite,Increasing,corneal eyes,,,,Illex Steenstrup 1880,vulnerable,,,,,,,,,,,,,nectonic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Campbell shag,Animalia,Chordata,Aves,https://eol.org/pages/45517782,Leucocarbo campbelli (Campbell Shag) is a species of birds in the family cormorants. They are listed as vulnerable by IUCN. They rely on flight to move around.,tympanic middle ear,,,,New Zealand,terrestrial,5000 Hz,20 dB,bipedal movement,apatite,Stable,corneal eyes,,,,,vulnerable,,,,,,,,,,,,,,,,,,,,,,,Pectinopygus carunculatus Timmermann 1964,,,,,,,,,,,,,,,,,,,,,,,,
0,Campbell teal,Animalia,Chordata,Aves,https://eol.org/pages/1065129,Anas nesiotis (Campbell Teal) is a species of birds in the family Anatidae. They are listed as vulnerable by IUCN and in cites appendix i. They rely on drag powered swimming and flight to move around.,tympanic middle ear,,426 g,,New Zealand,"grassland,terrestrial",,20 dB,bipedal movement,apatite,Stable,corneal eyes,,,,,vulnerable,,,,,,,,,,,,,nectonic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Campbells fairywren,Animalia,Chordata,Aves,https://eol.org/pages/45518060,Chenorhamphus campbelli (Campbell's Fairywren) is a species of birds in the family Maluridae. They rely on flight to move around.,tympanic middle ear,,,,,subtropical,5000 Hz,10 dB,flight,apatite,,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Campbells fairywren   ,Animalia,Chordata,Aves,https://eol.org/pages/45518060,Chenorhamphus campbelli (Campbell's Fairywren) is a species of birds in the family Maluridae. They rely on flight to move around.,tympanic middle ear,,,,,subtropical,5000 Hz,10 dB,flight,apatite,,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
