,Common Name,Kingdom,Phylum,Class,Link,Description,auditory system,biogeographic realm,body mass,ecoregion,geographic distribution includes,habitat,hearing threshold,locomotion,mineralized skeleton contains,population trend,visual system,conservation status,hearing range,behavioral circadian rhythm,bill length,body shape,diet includes,mating system,native range includes,social system,tarsus length,temperature at range midpoint latitude,trophic guild,eats,foraging habitat,life span,litters per year,prenatal development duration,weight,genome size,has host,parasite of,visits flowers of,type specimen repository,ecomorphological guild,has ectoparasite,basal metabolic rate,trophic level,parental care,parasitized by,growth rate,egg mass,preys on,number of public records in bold,mutualistic with,middle toe length,invasive in,is killed by,body length,host of,onset of fertility,initial mortality rate,mortality rate doubling time,is eaten by,body temperature,sensory system,tarsometatarsus + middle toe length,has pathogen,motility,clutch/brood/litter size,is vector for,used for
0,Donaldson Smiths sparrowweaver,Animalia,Chordata,Aves,https://eol.org/pages/45515580,Plocepasser donaldsoni (Donaldson Smith's Sparrow Weaver) is a species of birds in the family Weavers & allies. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,Afrotropics,43 g,Northern Acacia-Commiphora Bushlands And Thickets,Mozambique,terrestrial,10 dB,bipedal movement,apatite,Stable,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Dorias goshawk,Animalia,Chordata,Aves,https://eol.org/pages/912811,Megatriorchis doriae (Doria's Goshawk) is a species of birds in the family Accipitridae. They are listed as near threatened by IUCN and in cites appendix ii. They are found in australasia. They rely on flight to move around.,tympanic middle ear,australasia,1000 g,Trans Fly Savanna And Grasslands,Indonesia,terrestrial,20 dB,bipedal movement,apatite,Decreasing,corneal eyes,near threatened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Dorsts cisticola,Animalia,Chordata,Aves,https://eol.org/pages/45514498,Cisticola guinea (Dorst's Cisticola) is a species of birds in the family African warblers. They rely on flight to move around.,tympanic middle ear,,11.3 g,,Cameroon,"savanna,terrestrial",10 dB,bipedal movement,apatite,Stable,corneal eyes,,5000 Hz,,,,,,,,,,,,,,,,,,,,,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Dotted tanager,Animalia,Chordata,Aves,https://eol.org/pages/1052934,Tangara varia (Dotted Tanager) is a species of birds in the family tanagers. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,10 g,Monte Alegre Varzea,Suriname,"subtropical,terrestrial",10 dB,bipedal movement,apatite,Stable,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Doubledays hummingbird,Animalia,Chordata,Aves,https://eol.org/pages/45509571,Cynanthus doubledayi (Doubleday's Hummingbird) is a species of birds in the family hummingbirds. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,,Southern Pacific Dry Forests,Mexico,"coastal,terrestrial",20 dB,bipedal movement,apatite,Stable,corneal eyes,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Drab hemispingus,Animalia,Chordata,Aves,https://eol.org/pages/921794,Hemispingus xanthophthalmus (Drab Hemispingus) is a species of birds in the family tanagers. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,15 g,Bolivian Yungas,Peru,subtropical,10 dB,flight,apatite,,corneal eyes,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Drab myzomela,Animalia,Chordata,Aves,https://eol.org/pages/918548,Myzomela blasii (Drab Myzomela) is a species of birds in the family honeyeaters. They are found in australasia. They rely on flight to move around.,tympanic middle ear,australasia,14.9 g,Seram Rain Forests,Indonesia,"tropical,terrestrial",10 dB,flight,apatite,Stable,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Drab seedeater,Animalia,Chordata,Aves,https://eol.org/pages/917127,Sporophila simplex (Drab Seedeater) is a species of birds in the family tanagers. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,,Eastern Cordillera Real Montane Forests,Ecuador,"tropical,terrestrial",10 dB,bipedal movement,apatite,Increasing,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Drab swiftlet,Animalia,Chordata,Aves,https://eol.org/pages/52571515,Collocalia neglecta (Drab Swiftlet) is a species of birds in the family swifts. They rely on flight to move around.,tympanic middle ear,,,,,,20 dB,flight,apatite,,corneal eyes,,5000 Hz,,,,,,,,,,insectivore,,,,,,,,,,,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Drab water tyrant,Animalia,Chordata,Aves,https://eol.org/pages/45513189,Ochthornis littoralis (Drab Water Tyrant) is a species of birds in the family tyrant flycatchers. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,14.9 g,Juruá-Purus Moist Forests,Bolivia,freshwater habitat,10 dB,bipedal movement,apatite,Stable,corneal eyes,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
