,Common Name,Kingdom,Phylum,Class,Link,Description,auditory system,biogeographic realm,body mass,ecoregion,geographic distribution includes,habitat,hearing threshold,locomotion,mineralized skeleton contains,population trend,visual system,conservation status,hearing range,behavioral circadian rhythm,bill length,body shape,diet includes,mating system,native range includes,social system,tarsus length,temperature at range midpoint latitude,trophic guild,eats,foraging habitat,life span,litters per year,prenatal development duration,weight,genome size,has host,parasite of,visits flowers of,type specimen repository,ecomorphological guild,has ectoparasite,basal metabolic rate,trophic level,parental care,parasitized by,growth rate,egg mass,preys on,number of public records in bold,mutualistic with,middle toe length,invasive in,is killed by,body length,host of,onset of fertility,initial mortality rate,mortality rate doubling time,is eaten by,body temperature,sensory system,tarsometatarsus + middle toe length,has pathogen,motility,clutch/brood/litter size,is vector for,used for
0,Fanti sawwing,Animalia,Chordata,Aves,https://eol.org/pages/45515369,Psalidoprocne obscura (Fanti Saw Wing) is a species of birds in the family swallows. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,Afrotropics,10 g,Cross-Sanaga-Bioko Coastal Forests,Cameroon,"grassland,terrestrial",10 dB,bipedal movement,apatite,Stable,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Far Eastern curlew,Animalia,Chordata,Aves,https://eol.org/pages/45509194,"Numenius madagascariensis (Far Eastern Curlew) is a species of birds in the family Scolopacidae. They are listed as endangered by IUCN. They are found in the palearctic, the indo-malayan realm, and australasia. They rely on flight to move around.",tympanic middle ear,the palearctic,1150 g,,New Zealand,terrestrial,20 dB,flight,apatite,Decreasing,corneal eyes,endangered,,,,,,,,,,,,,,,,,,,,,,,nectonic,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Fasciated antshrike,Animalia,Chordata,Aves,https://eol.org/pages/45509801,Cymbilaimus lineatus (Fasciated Antshrike) is a species of birds in the family typical antbirds. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,44 g,Talamancan Montane Forests,South Pacific,"forest,terrestrial",10 dB,flight,apatite,Stable,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Fasciated tiger heron,Animalia,Chordata,Aves,https://eol.org/pages/45511508,Tigrisoma fasciatum (Fasciated Tiger Heron) is a species of birds in the family Ardeidae. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,850 g,,South Atlantic,"river,terrestrial",20 dB,flight,apatite,Unknown,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,"University Museum of Zoology, Cambridge",,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Fasciated wren,Animalia,Chordata,Aves,https://eol.org/pages/1052999,Campylorhynchus fasciatus (Fasciated Wren) is a species of birds in the family wrens. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,37.1 g,,Brazil,"arid,terrestrial",10 dB,bipedal movement,apatite,Stable,corneal eyes,,,,,,,,,,,,,,,,,,,1.359 pg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Fatu Hiva monarch,Animalia,Chordata,Aves,https://eol.org/pages/45518227,"Pomarea whitneyi (Fatu Hiva Monarch) is a species of birds in the family monarch flycatchers. They are listed as critically endangered by IUCN. They are found in Oceania continent (Australia, NZ and islands). They rely on flight to move around.",tympanic middle ear,"Oceania continent (Australia, NZ and islands)",50 g,Marquesas Tropical Moist Forests,South Pacific,terrestrial,10 dB,flight,apatite,Decreasing,corneal eyes,critically endangered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Fearful owl,Animalia,Chordata,Aves,https://eol.org/pages/45517865,Nesasio solomonensis (Fearful Owl) is a species of birds in the family typical owls. They are listed as vulnerable by IUCN and in cites appendix ii. They are found in australasia. They rely on flight to move around.,otoliths,australasia,1155 g,,Solomon Islands,"forest,terrestrial",-15 dB,bipedal movement,apatite,Decreasing,corneal eyes,vulnerable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Feas petrel,Animalia,Chordata,Aves,https://eol.org/pages/45511286,Pterodroma feae (Cape Verde Petrel) is a species of birds in the family Procellariidae. They are listed as near threatened by IUCN. Individuals can grow to 94 cm. They rely on flight to move around.,tympanic middle ear,,355 g,,North Atlantic,"tropical,marine",,flight,,Unknown,corneal eyes,near threatened,,,,,,,,,,,,Illex Steenstrup 1880,,,,,,,,,,,nectonic,,,,,,,,,,,,,,94 cm,,,,,,,,,,,,,
0,Feline owletnightjar,Animalia,Chordata,Aves,https://eol.org/pages/45516365,Aegotheles insignis (Feline Owlet Nightjar) is a species of birds in the family owlet-nightjars. They are found in australasia. They rely on flight to move around.,tympanic middle ear,australasia,101 g,Southeastern Papuan Rain Forests,Indonesia,"subtropical,terrestrial",20 dB,bipedal movement,apatite,Stable,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Fernandinas flicker,Animalia,Chordata,Aves,https://eol.org/pages/45509777,Colaptes fernandinae (Cuban Flicker) is a species of birds in the family woodpeckers. They are listed as vulnerable by IUCN. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,157 g,,Cuba,"swamp,freshwater habitat",,bipedal movement,apatite,Decreasing,corneal eyes,vulnerable,,,,,,,,,,,,,,,,,,,,,,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Fernando Po batis,Animalia,Chordata,Aves,https://eol.org/pages/45515139,Batis poensis (Fernando Po Batis) is a species of birds in the family Afrikansiepot. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,Afrotropics,10 g,,Equatorial Guinea,"montane forest,terrestrial",10 dB,bipedal movement,apatite,Stable,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Fernando Po speirops,Animalia,Chordata,Aves,https://eol.org/pages/45514642,Zosterops brunneus (Fernando Po Speirops) is a species of birds in the family white-eyes. They are listed as vulnerable by IUCN. They rely on flight to move around.,tympanic middle ear,,,,Equatorial Guinea,"tropical,terrestrial",10 dB,flight,apatite,Stable,corneal eyes,vulnerable,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,Haemoproteus,,,,,,,,,,,,,,,,,,,,,,
0,Fernando Po swift,Animalia,Chordata,Aves,https://eol.org/pages/1227771,Apus sladeniae (Fernando Po Swift) is a species of birds in the family swifts. They rely on flight to move around.,tympanic middle ear,,,,,terrestrial,20 dB,flight,apatite,Unknown,corneal eyes,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Fernwren,Animalia,Chordata,Aves,https://eol.org/pages/45518092,Oreoscopus gutturalis (Fernwren) is a species of birds in the family Acanthizidae. They are found in australasia. They rely on flight to move around.,tympanic middle ear,australasia,23.2 g,Queensland Tropical Rain Forests,Australia,"forest,terrestrial",10 dB,bipedal movement,apatite,Stable,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Ferruginous antbird,Animalia,Chordata,Aves,https://eol.org/pages/45512733,Drymophila ferruginea (Ferruginous Antbird) is a species of birds in the family typical antbirds. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,12 g,Alto Paraná Atlantic Forests,Brazil,terrestrial,10 dB,bipedal movement,apatite,Stable,corneal eyes,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Ferruginous babbler,Animalia,Chordata,Aves,https://eol.org/pages/1052403,Trichastoma bicolor (Ferruginous Babbler) is a species of birds in the family Pellorneidae. They are found in the indo-malayan realm. They rely on flight to move around.,tympanic middle ear,the indo-malayan realm,34 g,Indochina Mangroves,Malaysia,"subtropical,terrestrial",10 dB,bipedal movement,apatite,Stable,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Ferruginous duck,Animalia,Chordata,Aves,https://eol.org/pages/45511483,"Aythya nyroca (Ferruginous) is a species of birds in the family Anatidae. They are listed as near threatened by IUCN. They are associated with freshwater habitat. They are found in the indo-malayan realm, Afrotropics, and the palearctic. They are diurnal herbivores. They have parental care (female provides care). They rely on flight and drag powered swimming to move around.",tympanic middle ear,the indo-malayan realm,574 g,,United States,"valley,terrestrial",,flight,,Decreasing,corneal eyes,near threatened,,,,,,,,,,,,,freshwater,,,,,,,,,,nectonic,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Ferruginous flycatcher,Animalia,Chordata,Aves,https://eol.org/pages/45517436,Muscicapa ferruginea (Ferruginous Flycatcher) is a species of birds in the family Old World flycatchers. They are found in the palearctic and the indo-malayan realm. They are diurnal. They rely on flight to move around.,tympanic middle ear,the palearctic,12 g,,Indonesia,"subtropical,terrestrial",,flight,apatite,Decreasing,corneal eyes,,,diurnal,,,,,,,,,,,,,,,,,,,,(UMMZ) - UMMZ Birds Collection {http://www.lsa.umich.edu/ummz/birds/},,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Ferruginous hawk,Animalia,Chordata,Aves,https://eol.org/pages/45511427,Buteo regalis (Ferruginous Hawk) is a species of birds in the family Accipitridae. They are listed as threatened by COSEWIC and in cites appendix ii. They are native to United States and The Nearctic. They rely on flight to move around.,,The Nearctic,,,United States,swamp,,flight,,Increasing,,,,,,bilaterally symmetric,,,United States,,,,,,,23.7 years,1 /year,32 days,1500 g,,,,,,,,,,,,0.171 /day,,,,,,,,,,,,,,,,,,,,,
0,Ferruginous partridge,Animalia,Chordata,Aves,https://eol.org/pages/45515992,Caloperdix oculeus (Ferruginous Partridge) is a species of birds in the family Phasianidae. They are listed as near threatened by IUCN. They rely on flight to move around.,tympanic middle ear,,190 g,,Indonesia,"tropical,terrestrial",20 dB,bipedal movement,apatite,Decreasing,corneal eyes,near threatened,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Ferruginous pygmy owl,Animalia,Chordata,Aves,https://eol.org/pages/45510741,Glaucidium brasilianum (Ferruginous Pygmy Owl) is a species of birds in the family typical owls. They are listed in cites appendix ii. They are found in The Nearctic and The Neotropics. They are nocturnal carnivores. They have parental care (paternal care and female provides care). They rely on saltation and flight to move around.,,The Nearctic,,,United States,tropical,,saltation,,Decreasing,,,,,,bilaterally symmetric,birds,monogamous,,,,,insectivore,Reduviidae (assassin bugs),,,,,,,,,,,,,,,protection,,,,Pisanianura,,,,,,,,,,,,,,,,,,,
0,Festive amazon,Animalia,Chordata,Aves,https://eol.org/pages/45510872,Amazona festiva (Festive Parrot) is a species of birds in the family parrots. They are listed as near threatened by IUCN and in cites appendix ii. They are found in The Neotropics. They are diurnal. They rely on flight to move around.,tympanic middle ear,The Neotropics,430 g,,Guyana,terrestrial,,flight,,Decreasing,corneal eyes,near threatened,,diurnal,,,,,,,,,,,,24.5 years,,,430 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Festive coquette,Animalia,Chordata,Aves,https://eol.org/pages/45512273,"Lophornis chalybeus (Festive Coquette) is a species of birds in the family hummingbirds. They are listed as near threatened by IUCN and in cites appendix ii. They are found in The Neotropics. They visit flowers of Norantea, Spirotheca, Inga sessilis, and Coral tree. They rely on flight to move around.",tympanic middle ear,The Neotropics,,,Peru,"coastal,terrestrial",20 dB,flight,apatite,Unknown,corneal eyes,near threatened,,,,,,,,,,,,,,,,,,,,,Aechmea nudicaulis (L.) Griseb. (nakedstem livingvase),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Field sparrow,Animalia,Chordata,Aves,https://eol.org/pages/45511210,"Spizella pusilla (Field Sparrow) is a species of birds in the family Passerellidae. They are native to The Nearctic. They are solitary, diurnal herbivores. They have parental care (pair provides care, paternal care, and female provides care). They rely on flight to move around.",,,,,Ontario,,,,,Decreasing,,,,,,bilaterally symmetric,arthropods,monogamous,The Nearctic,group living,,,insectivore,,terrestrial,,,12 days,,,,,,"Harvard UNiversity, Museum of Comparative Zoology",,,,,,,0.621 /day,,,,,,,,,,,,,,,,,,,,,
0,Fieldfare,Animalia,Chordata,Aves,https://eol.org/pages/45510218,Turdus pilaris (Fieldfare) is a species of birds in the family thrushes. They are found in the palearctic. They are diurnal. They have parental care (pair provides care). They rely on flight to move around.,,the palearctic,,,United States,hedge,,flight,,Stable,,,,,,,,,,,,,frugivore,,terrestrial,18.1 years,,,106 g,,,,,,,,,,,,0.666 /day,,Lumbricidae (earthworms),,,,,,,,,,,,110.6 degrees fahrenheit,,,,,,,
0,Fiery minivet,Animalia,Chordata,Aves,https://eol.org/pages/45516788,Pericrocotus igneus (Fiery Minivet) is a species of birds in the family cuckoo-shrikes. They are listed as near threatened by IUCN. They are found in the indo-malayan realm. They rely on flight to move around.,tympanic middle ear,the indo-malayan realm,15.8 g,,Malaysia,"swamp forest,terrestrial",10 dB,bipedal movement,apatite,Decreasing,corneal eyes,near threatened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Fiery topaz,Animalia,Chordata,Aves,https://eol.org/pages/45512265,Topaza pyra (Fiery Topaz) is a species of birds in the family hummingbirds. They are listed in cites appendix ii. They are found in The Neotropics. They visit flowers of Isertia hypoleuca. They rely on flight to move around.,tympanic middle ear,The Neotropics,17 g,,Ecuador,"headwater,terrestrial",,bipedal movement,,Decreasing,corneal eyes,cites appendix ii,,,,,,,,,,,,,,,,,,,,,Isertia hypoleuca Benth.,(MLZ) - MLZ Bird Collection (Arctos) {http://www.oxy.edu/moore-lab-zoology},,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Fiji bush warbler,Animalia,Chordata,Aves,https://eol.org/pages/45518743,Horornis ruficapilla (Fiji Bush Warbler) is a species of birds in the family Cettiidae. They rely on flight to move around.,otoliths,,,,Fiji,terrestrial,10 dB,bipedal movement,apatite,Decreasing,corneal eyes,,1000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Fiji goshawk,Animalia,Chordata,Aves,https://eol.org/pages/45518721,"Accipiter rufitorques (Fiji Goshawk) is a species of birds in the family Accipitridae. They are listed in cites appendix ii. They are associated with freshwater habitat. They are found in Oceania continent (Australia, NZ and islands). They rely on flight to move around.",tympanic middle ear,"Oceania continent (Australia, NZ and islands)",209 g,,Fiji,"tropical,terrestrial",,bipedal movement,apatite,Stable,corneal eyes,cites appendix ii,,,,,,,,,,,,,,,,,,,,,,"Harvard UNiversity, Museum of Comparative Zoology",,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Fiji parrotfinch,Animalia,Chordata,Aves,https://eol.org/pages/45518768,"Erythrura pealii (Fiji Parrotfinch) is a species of birds in the family Estrildid finches. They are found in Oceania continent (Australia, NZ and islands). They rely on flight to move around.",tympanic middle ear,"Oceania continent (Australia, NZ and islands)",,fiji tropical dry forests,Fiji,"pasture,terrestrial",10 dB,bipedal movement,apatite,Stable,corneal eyes,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Fiji petrel,Animalia,Chordata,Aves,https://eol.org/pages/45518717,Pseudobulweria macgillivrayi (Fiji Petrel) is a species of birds in the family Procellariidae. They are listed as critically endangered by IUCN. They rely on flight to move around.,otoliths,,,,Fiji,terrestrial,20 dB,bipedal movement,apatite,Decreasing,corneal eyes,critically endangered,1000 Hz,,,,,,,,,,,Loligo (Loligo squid),,,,,,,,,,,nectonic,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Fiji shrikebill,Animalia,Chordata,Aves,https://eol.org/pages/45518236,"Clytorhynchus vitiensis (Fiji Shrikebill) is a species of birds in the family monarch flycatchers. They are found in Oceania continent (Australia, NZ and islands). They rely on flight to move around.",tympanic middle ear,"Oceania continent (Australia, NZ and islands)",29.2 g,Tongan Tropical Moist Forests,South Pacific,"subtropical,terrestrial",10 dB,flight,apatite,Decreasing,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Fiji wattled honeyeater,Animalia,Chordata,Aves,https://eol.org/pages/47043170,Foulehaio taviunensis (Fiji Wattled Honeyeater) is a species of birds in the family honeyeaters. They rely on flight to move around.,tympanic middle ear,,,,,tropical,10 dB,flight,apatite,,corneal eyes,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Fiji whistler,Animalia,Chordata,Aves,https://eol.org/pages/20405561,Pachycephala vitiensis (Fiji Whistler) is a species of birds in the family whistlers. They rely on flight to move around.,tympanic middle ear,,,,South Pacific,,10 dB,flight,apatite,,corneal eyes,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Fiji whiteeye,Animalia,Chordata,Aves,https://eol.org/pages/1177375,"Zosterops explorator (Fiji White Eye) is a species of birds in the family white-eyes. They are found in Oceania continent (Australia, NZ and islands). They rely on flight to move around.",tympanic middle ear,"Oceania continent (Australia, NZ and islands)",11.5 g,fiji tropical moist forests,Fiji,"tropical,terrestrial",10 dB,bipedal movement,apatite,Unknown,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Fiji woodswallow,Animalia,Chordata,Aves,https://eol.org/pages/45518163,"Artamus mentalis (Fiji Woodswallow) is a species of birds in the family woodswallows. They are found in Oceania continent (Australia, NZ and islands). They rely on flight to move around.",tympanic middle ear,"Oceania continent (Australia, NZ and islands)",48 g,fiji tropical moist forests,Fiji,"tropical,terrestrial",10 dB,bipedal movement,apatite,Decreasing,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Finns weaver,Animalia,Chordata,Aves,https://eol.org/pages/45517652,Ploceus megarhynchus (Finn's Baya Weaver) is a species of birds in the family Weavers & allies. They are listed as vulnerable by IUCN. They are found in the indo-malayan realm. They are diurnal. They have parental care (pair provides care). They rely on flight to move around.,tympanic middle ear,the indo-malayan realm,34 g,,India,terrestrial,,bipedal movement,,Decreasing,corneal eyes,vulnerable,,,,,,,,,,,granivore,,terrestrial,,,,,,,,,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Finschs bulbul,Animalia,Chordata,Aves,https://eol.org/pages/920461,Alophoixus finschii (Finsch's Bulbul) is a species of birds in the family bulbuls. They are found in the indo-malayan realm. They rely on flight to move around.,tympanic middle ear,the indo-malayan realm,25 g,Indochina Mangroves,Malaysia,subtropical,10 dB,flight,apatite,,corneal eyes,,5000 Hz,,,,,,,,,,,Ficus pisocarpa Bl.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Finschs euphonia,Animalia,Chordata,Aves,https://eol.org/pages/45513415,Euphonia finschi (Finsch's Euphonia) is a species of birds in the family finches. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,11 g,,French Guiana,"subtropical,freshwater habitat",10 dB,bipedal movement,apatite,Stable,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Finschs francolin,Animalia,Chordata,Aves,https://eol.org/pages/45513775,Scleroptila finschi (Finsch's Francolin) is a species of birds in the family Phasianidae. They rely on flight to move around.,tympanic middle ear,,,,,terrestrial,20 dB,flight,apatite,Unknown,corneal eyes,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Finschs imperial pigeon,Animalia,Chordata,Aves,https://eol.org/pages/1049917,Ducula finschii (Finsch's Imperial Pigeon) is a species of birds in the family Columbidae. They are listed as near threatened by IUCN. They are found in australasia. They rely on flight to move around.,tympanic middle ear,australasia,384 g,,South Pacific,"subtropical,terrestrial",20 dB,flight,apatite,Decreasing,corneal eyes,near threatened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Finschs parakeet,Animalia,Chordata,Aves,https://eol.org/pages/45510848,Psittacara finschi (Crimson Fronted Parakeet) is a species of birds in the family parrots. They are diurnal. They rely on flight to move around.,tympanic middle ear,,,,United States,"tropical,terrestrial",20 dB,bipedal movement,apatite,Increasing,corneal eyes,,5000 Hz,diurnal,,,,,,,,,,Acnistus arborescens (L.) Schltdl. (hollowheart),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Finschs pygmy parrot,Animalia,Chordata,Aves,https://eol.org/pages/45517901,Micropsitta finschii (Emerald Pygmy Parrot) is a species of birds in the family Psittaculidae. They are listed in cites appendix ii. They are found in australasia. They rely on flight to move around.,tympanic middle ear,australasia,,Solomon Islands Rain Forests,Papua New Guinea,"tropical,terrestrial",20 dB,bipedal movement,apatite,Stable,corneal eyes,cites appendix ii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Finschs rufous thrush,Animalia,Chordata,Aves,https://eol.org/pages/45515553,Stizorhina finschi (Finsch's Rufous Thrush) is a species of birds in the family thrushes. They rely on flight to move around.,tympanic middle ear,,,,Ghana,river,10 dB,bipedal movement,apatite,,corneal eyes,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Finschs wheatear,Animalia,Chordata,Aves,https://eol.org/pages/45513729,Oenanthe finschii (Finsch's Wheatear) is a species of birds in the family Old World flycatchers. They are found in the palearctic. They rely on flight to move around.,tympanic middle ear,the palearctic,28.5 g,Elburz Range Forest Steppe,Uzbekistan,"desert,terrestrial",10 dB,flight,apatite,Stable,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Fiordland penguin,Animalia,Chordata,Aves,https://eol.org/pages/45512080,Eudyptes pachyrhynchus (Fiordland Crested Penguin) is a species of birds in the family penguins. They are listed as near threatened by IUCN. They are native to Australia. They are diurnal. They have parental care (pair provides care). They rely on flight and lift powered swimming to move around.,,,,,New Zealand,temperate,,flight,,Decreasing,,,,,44.8 mm,bilaterally symmetric,,,Australia,,,17.74 degrees celsius,invertivore,,marine pelagic,,,,,,,,,,nectonic,,,,,,,,,,,77.8 mm,,,,,,,,,,,,,,,,
0,Firethroat,Animalia,Chordata,Aves,https://eol.org/pages/45517506,Calliope pectardens (Firethroat) is a species of birds in the family Old World flycatchers. They are listed as near threatened by IUCN. They rely on flight to move around.,tympanic middle ear,,,,India,"temperate,terrestrial",10 dB,flight,apatite,Decreasing,corneal eyes,near threatened,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Firewoodgatherer,Animalia,Chordata,Aves,https://eol.org/pages/917983,Anumbius annumbi (Firewood Gatherer) is a species of birds in the family ovenbirds. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,45 g,Pantanal,Brazil,"subtropical,terrestrial",10 dB,bipedal movement,apatite,Increasing,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Fiscal flycatcher,Animalia,Chordata,Aves,https://eol.org/pages/45514716,Melaenornis silens (Fiscal Flycatcher) is a species of birds in the family Old World flycatchers. They rely on flight to move around.,tympanic middle ear,,,,Mozambique,"subtropical,terrestrial",10 dB,bipedal movement,apatite,Stable,corneal eyes,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,Plasmodium subgen. Plasmodium,,,,,,,,,,,,,,,,,,,,,,
0,Fischers greenbul,Animalia,Chordata,Aves,https://eol.org/pages/45514372,Phyllastrephus fischeri (Fischer's Greenbul) is a species of birds in the family bulbuls. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,Afrotropics,34.5 g,,Mozambique,"subtropical,terrestrial",10 dB,flight,apatite,Decreasing,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Fischers lovebird,Animalia,Chordata,Aves,https://eol.org/pages/45510815,Agapornis fischeri (Fischer's Lovebird) is a species of birds in the family Psittaculidae. They are listed as near threatened by IUCN and in cites appendix ii. They are native to Ethiopia. They are herbivores. They have parental care (paternal care and female provides care). They rely on flight to move around.,,Afrotropics,,,United States,,,flight,,Decreasing,,,,,,bilaterally symmetric,seeds,monogamous,Ethiopia,group living,,,frugivore,,,12.6 years,,,,,,,,,,,,,protection,,,,,,,,,,,,,,,,,,,,,,,
0,Fischers sparrowlark,Animalia,Chordata,Aves,https://eol.org/pages/45515313,Eremopterix leucopareia (Fischer's Sparrow Lark) is a species of birds in the family larks. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,Afrotropics,15.4 g,,Burundi,"tropical,terrestrial",10 dB,bipedal movement,apatite,Unknown,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Fischers starling,Animalia,Chordata,Aves,https://eol.org/pages/45515520,Lamprotornis fischeri (Fischer's Starling) is a species of birds in the family starlings. They rely on flight to move around.,otoliths,,,,Kenya,terrestrial,10 dB,bipedal movement,apatite,Stable,corneal eyes,,1000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Fischers turaco,Animalia,Chordata,Aves,https://eol.org/pages/45513992,Tauraco fischeri (Fischer's Turaco) is a species of birds in the family turacos. They are listed as near threatened by IUCN and in cites appendix ii. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,Afrotropics,283 g,,Tanzania,"montane forest,terrestrial",20 dB,bipedal movement,apatite,Decreasing,corneal eyes,near threatened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Fish crow,Animalia,Chordata,Aves,https://eol.org/pages/45510007,Corvus ossifragus (Fish Crow) is a species of birds in the family Corvidae. They are found in The Neotropics and The Nearctic. They are diurnal omnivores. They have parental care (cooperative breeding). They rely on flight to move around.,tympanic middle ear,The Neotropics,,,United States,,,flight,,Increasing,corneal eyes,,,,,,,,,,,,,Egretta thula (Molina 1782) (Snowy egret),terrestrial,14.5 years,1 /year,18 days,418 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Flame bowerbird,Animalia,Chordata,Aves,https://eol.org/pages/45516655,Sericulus ardens (Flame Bowerbird) is a species of birds in the family bowerbirds. They rely on flight to move around.,tympanic middle ear,,,,,,10 dB,flight,apatite,,corneal eyes,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Flame robin,Animalia,Chordata,Aves,https://eol.org/pages/45518323,Petroica phoenicea (Flame Robin) is a species of birds in the family australasian robins. They are listed as near threatened by IUCN. They are found in australasia. They rely on flight to move around.,tympanic middle ear,australasia,14.6 g,,Australia,"beach,terrestrial",10 dB,flight,apatite,Decreasing,corneal eyes,near threatened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Flamecrest,Animalia,Chordata,Aves,https://eol.org/pages/45517357,Regulus goodfellowi (Flamecrest) is a species of birds in the family Regulidae. They are found in the indo-malayan realm. They rely on flight to move around.,tympanic middle ear,the indo-malayan realm,4.1 g,,China,"mountain,terrestrial",10 dB,bipedal movement,apatite,Stable,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,
