,Common Name,Kingdom,Phylum,Class,Link,Description,auditory system,biogeographic realm,body mass,geographic distribution includes,habitat,hearing threshold,locomotion,mineralized skeleton contains,population trend,type specimen repository,visual system,eats,foraging habitat,life span,prenatal development duration,weight,ecoregion,conservation status,hearing range,body shape,diet includes,mating system,native range includes,parental care,social system,trophic guild,growth rate,litters per year,has host,parasitized by,body temperature,egg mass,preys on,clutch/brood/litter size,basal metabolic rate,ecomorphological guild,body length,behavioral circadian rhythm,visits flowers of,genome size,visits,mutualistic with,number of public records in bold,bill length,tarsometatarsus + middle toe length,temperature at range midpoint latitude,host of,tarsus length,trophic level,middle toe length,symbiont of,has endoparasite,plant growth form,has ectoparasite,onset of fertility,is vector for,harvested in,used for,sensory system,is killed by,is eaten by,produces,spore arrangement,motility
0,Large Lifou whiteeye,Animalia,Chordata,Aves,https://eol.org/pages/45518713,Zosterops inornatus (Forest White Eye) is a species of birds in the family white-eyes. They are found in australasia. They rely on flight to move around.,tympanic middle ear,australasia,,New Caledonia,terrestrial,10 dB,bipedal movement,apatite,Unknown,,corneal eyes,,,,,,New Caledonia Rain Forests,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Large niltava,Animalia,Chordata,Aves,https://eol.org/pages/45517475,Niltava grandis (Large Niltava) is a species of birds in the family Old World flycatchers. They are found in the indo-malayan realm and the palearctic. They rely on flight to move around.,tympanic middle ear,the indo-malayan realm,34.9 g,Indian Ocean,"subtropical,terrestrial",10 dB,flight,apatite,Stable,"Harvard UNiversity, Museum of Comparative Zoology",corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Large scimitar babbler,Animalia,Chordata,Aves,https://eol.org/pages/45517102,Pomatorhinus hypoleucos (Large Scimitar Babbler) is a species of birds in the family babblers. They are found in the indo-malayan realm and the palearctic. They rely on flight to move around.,tympanic middle ear,the indo-malayan realm,82 g,Vietnam,montane forest,10 dB,flight,apatite,,,corneal eyes,,,,,,Northern Thailand-Laos Moist Deciduous Forests,,5000 Hz,,,,,,,,,,,Plasmodium subgen. Plasmodium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Large scrubwren,Animalia,Chordata,Aves,https://eol.org/pages/45516680,Sericornis nouhuysi (Large Scrubwren) is a species of birds in the family Acanthizidae. They are found in australasia. They rely on flight to move around.,tympanic middle ear,australasia,21.1 g,Indonesia,subtropical,10 dB,bipedal movement,apatite,,,corneal eyes,,,,,,Southeastern Papuan Rain Forests,,5000 Hz,,,,,,,,,,,Plasmodium subgen. Plasmodium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Large tree finch,Animalia,Chordata,Aves,https://eol.org/pages/1050311,Camarhynchus psittacula (Large Tree Finch) is a species of birds in the family tanagers. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,21 g,Ecuador,subtropical,10 dB,flight,apatite,,NHMUK,corneal eyes,Capsicum annuum L. (sweet and chili peppers),,,,,GaláPagos Islands Scrubland Mosaic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Large wrenbabbler,Animalia,Chordata,Aves,https://eol.org/pages/920623,Napothera macrodactyla (Large Wren Babbler) is a species of birds in the family Pellorneidae. They are found in the indo-malayan realm. They rely on flight to move around.,tympanic middle ear,the indo-malayan realm,48.7 g,Indian Ocean,subtropical,10 dB,flight,apatite,,,corneal eyes,,,,,,Sumatran Tropical Pine Forests,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Lark bunting,Animalia,Chordata,Aves,https://eol.org/pages/45511179,Calamospiza melanocorys (Lark Bunting) is a species of birds in the family Passerellidae. They are listed as threatened by COSEWIC. They are found in The Nearctic and The Neotropics. They are diurnal. They have parental care (cooperative breeding). They rely on flight to move around.,,The Nearctic,,Manitoba,,,flight,,Decreasing,,,,terrestrial,4.8 years,12 days,3.28 g,,,,,,,,,,granivore,,1 /year,,,110 degrees fahrenheit,0.1 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Lark sparrow,Animalia,Chordata,Aves,https://eol.org/pages/45511218,Chondestes grammacus (Lark Sparrow) is a species of birds in the family Passerellidae. They are native to The Nearctic. They are diurnal. They rely on flight to move around.,,The Nearctic,,Saskatchewan,prairie,,flight,,Decreasing,,,Acrididae (short-horned grasshoppers),,7.8 years,12 days,27.1 g,,,,bilaterally symmetric,,,The Nearctic,,,,,1.5 /year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Lathams francolin,Animalia,Chordata,Aves,https://eol.org/pages/45513767,Peliperdix lathami (Forest Francolin) is a species of birds in the family Phasianidae. They rely on flight to move around.,otoliths,,,,"coastal,freshwater habitat",20 dB,bipedal movement,apatite,Decreasing,,corneal eyes,,,,,,,,1000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Lathams snipe,Animalia,Chordata,Aves,https://eol.org/pages/45516163,Gallinago hardwickii (Japanese Snipe) is a species of birds in the family Scolopacidae. They are associated with freshwater habitat. They are found in australasia and the palearctic. They rely on flight to move around.,tympanic middle ear,australasia,178 g,South Pacific,"alpine,terrestrial",20 dB,flight,apatite,Decreasing,,corneal eyes,,,,,,Naracoorte Woodlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
