,Common Name,Kingdom,Phylum,Class,Link,Description,auditory system,hearing range,hearing threshold,locomotion,mineralized skeleton contains,visual system,biogeographic realm,body mass,ecoregion,geographic distribution includes,habitat,population trend,conservation status,weight,eats,type specimen repository,ecomorphological guild,behavioral circadian rhythm,genome size,has ectoparasite,body shape,diet includes,foraging habitat,native range includes,parental care,social system,trophic guild,body length,life span,preys on,parasitized by,basal metabolic rate,prenatal development duration,mating system,visits flowers of,is eaten by,host of,preyed upon by,growth rate,litters per year,visits,sensory system,body temperature,bill length,tarsus length,temperature at range midpoint latitude,mutualistic with,number of public records in bold,onset of fertility,used for,clutch/brood/litter size,leaf arrangement,life cycle habit,developmental mode,wing morphology,middle toe length,symbiont of,motility,supporting structures and enclosures,initial mortality rate
0,Pohnpei flycatcher,Animalia,Chordata,Aves,https://eol.org/pages/45518259,"Myiagra pluto (Pohnpei Flycatcher) is a species of birds in the family monarch flycatchers. They are found in Oceania continent (Australia, NZ and islands). They rely on flight to move around.",tympanic middle ear,5000 Hz,10 dB,bipedal movement,apatite,corneal eyes,"Oceania continent (Australia, NZ and islands)",,Carolines Tropical Moist Forests,Micronesia,terrestrial,Stable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Pohnpei kingfisher,Animalia,Chordata,Aves,https://eol.org/pages/43003629,Todiramphus reichenbachii (Pohnpei Kingfisher) is a species of birds in the family Alcedinidae. They are listed as vulnerable by IUCN. They rely on flight to move around.,otoliths,1000 Hz,20 dB,bipedal movement,apatite,corneal eyes,,,,Micronesia,"subtropical,terrestrial",Decreasing,vulnerable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Pohnpei lorikeet,Animalia,Chordata,Aves,https://eol.org/pages/45517917,"Trichoglossus rubiginosus (Pohnpei Lorikeet) is a species of birds in the family Psittaculidae. They are listed as near threatened by IUCN and in cites appendix ii. They are found in Oceania continent (Australia, NZ and islands). They rely on flight to move around.",tympanic middle ear,,20 dB,bipedal movement,apatite,corneal eyes,"Oceania continent (Australia, NZ and islands)",,Carolines Tropical Moist Forests,United States,"tropical,terrestrial",Decreasing,near threatened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Pohnpei starling,Animalia,Chordata,Aves,https://eol.org/pages/1051034,Aplonis pelzelni (Pohnpei Starling) is a species of birds in the family starlings. They are listed as critically endangered by IUCN. They rely on flight to move around.,tympanic middle ear,5000 Hz,10 dB,bipedal movement,apatite,corneal eyes,,,,,"mountain,terrestrial",Decreasing,critically endangered,,,,,,,Myrsidea teraokai Uchida 1918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Pollens vanga,Animalia,Chordata,Aves,https://eol.org/pages/45514228,Xenopirostris polleni (Pollen's Vanga) is a species of birds in the family Vangidae. They are listed as near threatened by IUCN. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,,10 dB,bipedal movement,apatite,corneal eyes,Afrotropics,61.5 g,,Madagascar,"subtropical,terrestrial",Unknown,near threatened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Polynesian ground dove,Animalia,Chordata,Aves,https://eol.org/pages/49114161,"Gallicolumba erythroptera (Polynesian Ground Dove) is a species of . They are found in Oceania continent (Australia, NZ and islands).",,,,,,,"Oceania continent (Australia, NZ and islands)",,Society Islands Tropical Moist Forests,South Pacific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Polynesian imperial pigeon,Animalia,Chordata,Aves,https://eol.org/pages/1049939,"Ducula aurorae (Polynesian Imperial Pigeon) is a species of birds in the family Columbidae. They are listed as endangered by IUCN. They are found in Oceania continent (Australia, NZ and islands). They rely on flight to move around.",tympanic middle ear,,20 dB,bipedal movement,apatite,corneal eyes,"Oceania continent (Australia, NZ and islands)",,,French Polynesia,"tropical,terrestrial",Increasing,endangered,,,"Harvard UNiversity, Museum of Comparative Zoology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Polynesian starling,Animalia,Chordata,Aves,https://eol.org/pages/1051033,"Aplonis tabuensis (Polynesian Starling) is a species of birds in the family starlings. They are found in Oceania continent (Australia, NZ and islands) and australasia. They rely on flight to move around.",tympanic middle ear,,10 dB,flight,apatite,corneal eyes,"Oceania continent (Australia, NZ and islands)",68.59999999999999 g,Vanuatu Rain Forests,United States,"subtropical,terrestrial",Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Polynesian storm petrel,Animalia,Chordata,Aves,https://eol.org/pages/45517747,"Nesofregetta fuliginosa (Polynesian Storm Petrel) is a species of birds in the family Oceanitidae. They are listed as endangered by IUCN. They are native to Pacific Ocean. They are diurnal carnivores. They have parental care (female provides care, paternal care, and pair provides care). They rely on flight to move around.",,,,flight,,,,,,United States,tropical,Decreasing,,,,,nectonic,,,,bilaterally symmetric,mollusks,marine pelagic,Pacific Ocean,provisioning,group living,invertivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Polynesian triller,Animalia,Chordata,Aves,https://eol.org/pages/45518201,"Lalage maculosa (Polynesian Triller) is a species of birds in the family cuckoo-shrikes. They are found in australasia and Oceania continent (Australia, NZ and islands). They rely on flight to move around.",tympanic middle ear,,10 dB,flight,apatite,corneal eyes,australasia,30.3 g,Vanuatu Rain Forests,South Pacific,"tropical,terrestrial",Stable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Polynesian wattled honeyeater,Animalia,Chordata,Aves,https://eol.org/pages/45518733,Foulehaio carunculatus (Polynesian Wattled Honeyeater) is a species of birds in the family honeyeaters. They rely on flight to move around.,tympanic middle ear,5000 Hz,10 dB,bipedal movement,apatite,corneal eyes,,,,United States,mangrove swamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Pomarine jaeger,Animalia,Chordata,Aves,https://eol.org/pages/45510694,"Stercorarius pomarinus (Pomarine Jaeger) is a species of birds in the family skuas. They are found in The Neotropics, the palearctic, Afrotropics, the indo-malayan realm, and The Nearctic. They are diurnal. Individuals can grow to 138 cm. They have parental care (pair provides care). They rely on flight to move around.",tympanic middle ear,,,flight,,corneal eyes,Afrotropics,,,North America,coastal,Stable,,,Lemmus sibiricus (Kerr 1792) (BROWN LEMMING),,nectonic,,,,,,coastal,,,,vertivore,125 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Pompadour cotinga,Animalia,Chordata,Aves,https://eol.org/pages/917479,Xipholena punicea (Cotinga Pacapaca) is a species of birds in the family cotingas. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,,10 dB,bipedal movement,apatite,corneal eyes,The Neotropics,76 g,Juruá-Purus Moist Forests,United States,"sandy soil,terrestrial",Decreasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Poouli,Animalia,Chordata,Aves,https://eol.org/pages/45510278,"Melamprosops phaeosoma (Poo Uli) is a species of birds in the family finches. This species is extinct. They are found in Oceania continent (Australia, NZ and islands). They rely on flight to move around.",tympanic middle ear,,,flight,apatite,corneal eyes,"Oceania continent (Australia, NZ and islands)",25.5 g,,United States,terrestrial,,extinct,25.5 g,Achatinellidae (Achatinellid land snails),,,,,,,,,,,,,,9.2 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Powerful owl,Animalia,Chordata,Aves,https://eol.org/pages/45517849,Ninox strenua (Powerful Boobook) is a species of birds in the family typical owls. They are listed in cites appendix ii. They are found in australasia. They rely on flight to move around.,tympanic middle ear,,,flight,,corneal eyes,australasia,1465 g,,Australia,"mountain,freshwater habitat",Stable,cites appendix ii,,Petauroides volans (Kerr 1792) (Greater Glider),,,,,,,,,,,,,,,Pseudocheiridae (ringtail possums),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Powerful woodpecker,Animalia,Chordata,Aves,https://eol.org/pages/1177535,Campephilus pollens (Powerful Woodpecker) is a species of birds in the family woodpeckers. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,5000 Hz,20 dB,bipedal movement,apatite,corneal eyes,The Neotropics,,Cordillera Oriental Montane Forests,Colombia,"subtropical,terrestrial",Decreasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Prairie warbler,Animalia,Chordata,Aves,https://eol.org/pages/45511111,Setophaga discolor (Prairie Warbler) is a species of birds in the family New World warblers. They rely on flight to move around.,tympanic middle ear,5000 Hz,10 dB,flight,apatite,corneal eyes,,,,United States,"prairie,terrestrial",Decreasing,,,Phymata,,,,,,,,,,,,,,,Ululodes macleayanus (Guilding 1823),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Predicted antwren,Animalia,Chordata,Aves,https://eol.org/pages/45512712,Herpsilochmus praedictus (Predicted Antwren) is a species of birds in the family typical antbirds. They rely on flight to move around.,tympanic middle ear,5000 Hz,10 dB,flight,apatite,corneal eyes,,,,Brazil,,,,,,Museu Paraense Emilio Goeldi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Prevosts ground sparrow,Animalia,Chordata,Aves,https://eol.org/pages/45511934,Melozone biarcuata (Prevost's Ground Sparrow) is a species of birds in the family Passerellidae. They rely on flight to move around.,tympanic middle ear,5000 Hz,10 dB,bipedal movement,apatite,corneal eyes,,32 g,,Costa Rica,,,,,,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
