ID,Common Bird Names
714,Beautiful sheartail
715,Beautiful sibia
716,Beautiful sunbird
717,Beautiful treerunner
718,Beautiful woodpecker
719,Becks petrel
720,Bedfords paradise flycatcher
721,Bee hummingbird
722,Beesleys lark
723,Beijing babbler
724,Belchers gull
725,Beldings yellowthroat
726,Belfords melidectes
727,Bell miner
728,Bells sparrow
729,Bells vireo
730,Belted flycatcher
731,Belted kingfisher
732,Bendires thrasher
733,Bengal bush lark
734,Bengal florican
735,Benguela longbilled lark
736,Benguet bush warbler
737,Bennetts woodpecker
738,Berlepschs canastero
739,Berlepschs tinamou
740,Bermuda flicker
741,Bermuda hawk
742,Bermuda night heron
743,Bermuda petrel
744,Bermuda sawwhet owl
745,Bermuda towhee
746,Berniers teal
747,Berniers vanga
748,Berthelots pipit
749,Bertonis antbird
750,Bertrams weaver
751,Berylspangled tanager
752,Berylline hummingbird
753,Besra
754,Bewicks wren
755,Bhutan laughingthrush
756,Biak black flycatcher
757,Biak coucal
758,Biak gerygone
759,Biak leaf warbler
760,Biak lorikeet
761,Biak monarch
762,Biak paradise kingfisher
763,Biak scops owl
764,Biak scrubfowl
765,Biak whistler
766,Biak whiteeye
767,Bianchis warbler
768,Bicknells thrush
769,Bicol ground warbler
770,Bicolored antbird
771,Bicolored antpitta
772,Bicolored antvireo
773,Bicolored conebill
774,Bicolored flowerpecker
775,Bicolored hawk
776,Bicolored scrubwren
777,Bicolored wren
778,Biddulphs ground jay
779,Bimaculated lark
780,Biscutate swift
781,Bishops oo
782,Bismarck black myzomela
783,Bismarck crow
784,Bismarck fantail
785,Bismarck hanging parrot
786,Bismarck kingfisher
787,Bismarck pitta
788,Bismarck whistler
789,Bismarck whiteeye
790,Black antbird
791,Black antshrike
792,Black baza
793,Black beeeater
794,Black berrypecker
795,Black bishop
796,Black bittern
797,Black boubou
798,Black bulbul
799,Black bushbird
800,Black butcherbird
801,Black caracara
802,Black catbird
803,Black cicadabird
804,Black coucal
805,Black crake
806,Black crowned crane
807,Black cuckoo
808,Black cuckoodove
809,Black cuckooshrike
810,Black curassow
811,Black currawong
812,Black drongo
813,Black dwarf hornbill
814,Black eagle
815,Black falcon
816,Black fantail
817,Black flowerpiercer
818,Black francolin
819,Black grasswren
820,Black grouse
821,Black guan
822,Black guillemot
823,Black guineafowl
824,Black harrier
825,Black hawkeagle
826,Black heron
827,Black honey buzzard
828,Black honeyeater
829,Black hornbill
830,Black imperial pigeon
831,Black inca
832,Black jacobin
833,Black kite
834,Black lark
835,Black laughingthrush
836,Black lory
837,Black magpie
838,Black mamo
839,Black manakin
840,Black mannikin
841,Black metaltail
842,Black monarch
843,Black noddy
844,Black nunbird
845,Black oriole
846,Black oropendola
847,Black oystercatcher
848,Black partridge
849,Black petrel
850,Black phoebe
851,Black pitohui
852,Black rail
853,Black redstart
854,Black robin
855,Black rosy finch
856,Black sawwing
857,Black scimitarbill
858,Black scoter
859,Black scrub robin
860,Black shama
861,Black sicklebill
862,Black siskin
863,Black sittella
864,Black skimmer
865,Black solitaire
866,Black sparrowhawk
867,Black spinetail
868,Black stilt
869,Black stork
870,Black storm petrel
871,Black sunbird
872,Black swan
873,Black tern
874,Black thicket fantail
875,Black thrush
876,Black tinamou
877,Black turnstone
878,Black vulture
879,Black wheatear
880,Black woodpecker
881,Blackandbuff woodpecker
882,Blackandchestnut eagle
883,Blackandchestnut warbling finch
884,Blackandcinnamon fantail
885,Blackandcrimson oriole
886,Blackandgold cotinga
887,Blackandgold tanager
888,Blackandorange flycatcher
889,Blackandred broadbill
890,Blackandrufous swallow
891,Blackandrufous warbling finch
892,Blackandtawny seedeater
893,Blackandwhite antbird
894,Blackandwhite becard
895,Blackandwhite bulbul
896,Blackandwhite hawkeagle
897,Blackandwhite mannikin
898,Blackandwhite monjita
899,Blackandwhite owl
900,Blackandwhite seedeater
901,Blackandwhite shrikeflycatcher
902,Blackandwhite tanager
903,Blackandwhite todyflycatcher
904,Blackandwhite triller
905,Blackandwhite warbler
906,Blackandwhitecasqued hornbill
907,Blackandyellow broadbill
908,Blackandyellow grosbeak
909,Blackandyellow phainoptila
910,Blackandyellow tanager
911,Blackbacked antshrike
912,Blackbacked barbet
913,Blackbacked bittern
914,Blackbacked bush tanager
915,Blackbacked butcherbird
916,Blackbacked cisticola
917,Blackbacked forktail
918,Blackbacked grosbeak
919,Blackbacked oriole
920,Blackbacked puffback
921,Blackbacked swamphen
922,Blackbacked tanager
923,Blackbacked thornbill
924,Blackbacked thrush
925,Blackbacked todyflycatcher
926,Blackbacked water tyrant
927,Blackbacked woodpecker
928,Blackbanded barbet
929,Blackbanded crake
930,Blackbanded flycatcher
931,Blackbanded fruit dove
932,Blackbanded owl
933,Blackbanded woodcreeper
934,Blackbellied antwren
935,Blackbellied bustard
936,Blackbellied cuckoo
937,Blackbellied cuckooshrike
938,Blackbellied firefinch
939,Blackbellied gnateater
940,Blackbellied hummingbird
941,Blackbellied malkoha
942,Blackbellied myzomela
943,Blackbellied sandgrouse
944,Blackbellied seedcracker
945,Blackbellied seedeater
946,Blackbellied starling
947,Blackbellied storm petrel
948,Blackbellied sunbird
949,Blackbellied tern
950,Blackbellied thorntail
951,Blackbellied whistling duck
952,Blackbellied wren
953,Blackbelted flowerpecker
954,Blackbibbed cicadabird
955,Blackbibbed monarch
956,Blackbibbed tit
957,Blackbilled amazon
958,Blackbilled barbet
959,Blackbilled brushturkey
960,Blackbilled capercaillie
961,Blackbilled coucal
962,Blackbilled cuckoo
963,Blackbilled flycatcher
964,Blackbilled gull
965,Blackbilled koel
966,Blackbilled magpie
967,Blackbilled mountain toucan
968,Blackbilled nightingalethrush
969,Blackbilled peppershrike
970,Blackbilled scythebill
971,Blackbilled seed finch
972,Blackbilled shriketyrant
973,Blackbilled sicklebill
974,Blackbilled streamertail
975,Blackbilled thrush
976,Blackbilled treehunter
977,Blackbilled turaco
978,Blackbilled weaver
979,Blackbilled wood dove
980,Blackbilled wood hoopoe
981,Blackbodied woodpecker
982,Blackbreasted barbet
983,Blackbreasted boatbill
984,Blackbreasted buttonquail
985,Blackbreasted buzzard
986,Blackbreasted hillstar
987,Blackbreasted mannikin
988,Blackbreasted myzomela
989,Blackbreasted parrotbill
990,Blackbreasted puffbird
991,Blackbreasted puffleg
992,Blackbreasted thrush
993,Blackbreasted weaver
994,Blackbreasted wood quail
995,Blackbrowed albatross
996,Blackbrowed babbler
997,Blackbrowed barbet
998,Blackbrowed bushtit
999,Blackbrowed fulvetta
1000,Blackbrowed greenbul
1001,Blackbrowed reed warbler
1002,Blackbrowed triller
1003,Blackcapped antwren
1004,Blackcapped apalis
1005,Blackcapped babbler
1006,Blackcapped becard
1007,Blackcapped bulbul
1008,Blackcapped catbird
1009,Blackcapped chickadee
1010,Blackcapped donacobius
1011,Blackcapped flycatcher
1012,Blackcapped foliagegleaner
1013,Blackcapped gnatcatcher
1014,Blackcapped hemispingus
1015,Blackcapped kingfisher
1016,Blackcapped lory
1017,Blackcapped paradise kingfisher
1018,Blackcapped parakeet
1019,Blackcapped petrel
1020,Blackcapped piprites
1021,Blackcapped pygmy tyrant
1022,Blackcapped screech owl
1023,Blackcapped siskin
1024,Blackcapped social weaver
1025,Blackcapped sparrow
1026,Blackcapped speirops
1027,Blackcapped swallow
1028,Blackcapped tanager
1029,Blackcapped tinamou
1030,Blackcapped tyrannulet
1031,Blackcapped vireo
1032,Blackcapped warbling finch
1033,Blackcapped whiteeye
1034,Blackcapped woodland warbler
1035,Blackcasqued hornbill
1036,Blackcheeked ant tanager
1037,Blackcheeked gnateater
1038,Blackcheeked lovebird
1039,Blackcheeked warbler
1040,Blackcheeked waxbill
1041,Blackcheeked woodpecker
1042,Blackchested buzzardeagle
1043,Blackchested fruiteater
1044,Blackchested jay
1045,Blackchested mountain tanager
1046,Blackchested prinia
1047,Blackchested snake eagle
1048,Blackchested sparrow
1049,Blackchested tyrant
1050,Blackchinned antbird
1051,Blackchinned babbler
1052,Blackchinned fruit dove
1053,Blackchinned honeyeater
1054,Blackchinned hummingbird
1055,Blackchinned monarch
1056,Blackchinned mountain tanager
1057,Blackchinned robin
1058,Blackchinned siskin
1059,Blackchinned sparrow
1060,Blackchinned weaver
1061,Blackchinned whistler
1062,Blackchinned yuhina
1063,Blackcollared apalis
1064,Blackcollared barbet
1065,Blackcollared bulbul
1066,Blackcollared hawk
1067,Blackcollared jay
1068,Blackcollared lovebird
1069,Blackcollared starling
1070,Blackcollared swallow
1071,Blackcowled oriole
1072,Blackcowled saltator
1073,Blackcrested antshrike
1074,Blackcrested bulbul
1075,Blackcrested coquette
1076,Blackcrested finch
1077,Blackcrested tittyrant
1078,Blackcrested titmouse
1079,Blackcrested warbler
1080,Blackcrowned antpitta
1081,Blackcrowned antshrike
1082,Blackcrowned babbler
1083,Blackcrowned barwing
1084,Blackcrowned fulvetta
1085,Blackcrowned monjita
1086,Blackcrowned night heron
1087,Blackcrowned pitta
1088,Blackcrowned sparrowlark
1089,Blackcrowned tanager
1090,Blackcrowned tchagra
1091,Blackcrowned tityra
1092,Blackcrowned waxbill
1093,Blackcrowned whiteeye
1094,Blackdotted piculet
1095,Blackeared catbird
1096,Blackeared cuckoo
1097,Blackeared fairy
1098,Blackeared ground thrush
1099,Blackeared hemispingus
1100,Blackeared miner
1101,Blackeared oriole
1102,Blackeared seedeater
1103,Blackeared shrikebabbler
1104,Blackeared sparrowlark
1105,Blackeared warbler
1106,Blackeared wood quail
1107,Blackfaced antbird
1108,Blackfaced antthrush
1109,Blackfaced babbler
1110,Blackfaced bunting
1111,Blackfaced canary
1112,Blackfaced cormorant
1113,Blackfaced cotinga
1114,Blackfaced coucal
1115,Blackfaced cuckooshrike
1116,Blackfaced dacnis
1117,Blackfaced firefinch
1118,Blackfaced friarbird
1119,Blackfaced grassquit
1120,Blackfaced grosbeak
1121,Blackfaced hawk
1122,Blackfaced ibis
1123,Blackfaced laughingthrush
1124,Blackfaced monarch
1125,Blackfaced munia
1126,Blackfaced pitta
1127,Blackfaced prinia
1128,Blackfaced rufous warbler
1129,Blackfaced sandgrouse
1130,Blackfaced sheathbill
1131,Blackfaced solitaire
1132,Blackfaced spoonbill
1133,Blackfaced tanager
1134,Blackfaced warbler
1135,Blackfaced waxbill
1136,Blackfaced woodswallow
1137,Blackfooted albatross
1138,Blackfronted brushfinch
1139,Blackfronted bushshrike
1140,Blackfronted dotterel
1141,Blackfronted flowerpecker
1142,Blackfronted ground tyrant
1143,Blackfronted nunbird
1144,Blackfronted parakeet
1145,Blackfronted piping guan
1146,Blackfronted spurfowl
1147,Blackfronted tern
1148,Blackfronted tyrannulet
1149,Blackfronted whiteeye
1150,Blackfronted wood quail
1151,Blackgirdled barbet
1152,Blackgoggled tanager
1153,Blackheaded antbird
1154,Blackheaded antthrush
1155,Blackheaded apalis
1156,Blackheaded beeeater
1157,Blackheaded berryeater
1158,Blackheaded brushfinch
1159,Blackheaded bulbul
1160,Blackheaded bunting
1161,Blackheaded canary
1162,Blackheaded cuckooshrike
1163,Blackheaded duck
1164,Blackheaded gonolek
1165,Blackheaded greenfinch
1166,Blackheaded grosbeak
1167,Blackheaded gull
1168,Blackheaded hemispingus
1169,Blackheaded heron
1170,Blackheaded honeyeater
1171,Blackheaded ibis
1172,Blackheaded jay
1173,Blackheaded lapwing
1174,Blackheaded myzomela
1175,Blackheaded nightingalethrush
1176,Blackheaded oriole
1177,Blackheaded parrot
1178,Blackheaded parrotbill
1179,Blackheaded penduline tit
1180,Blackheaded rufous warbler
1181,Blackheaded saltator
1182,Blackheaded shrikebabbler
1183,Blackheaded sibia
1184,Blackheaded siskin
1185,Blackheaded tailorbird
1186,Blackheaded tanager
1187,Blackheaded todyflycatcher
1188,Blackheaded trogon
1189,Blackheaded waxbill
1190,Blackheaded weaver
1191,Blackheaded whistler
1192,Blackheaded woodpecker
1193,Blackhooded antshrike
1194,Blackhooded antwren
1195,Blackhooded coucal
1196,Blackhooded laughingthrush
1197,Blackhooded oriole
1198,Blackhooded sierra finch
1199,Blackhooded sunbeam
1200,Blackhooded thrush
1201,Blacklegged dacnis
1202,Blacklegged kittiwake
1203,Blacklegged parrot
1204,Blacklegged seriema
1205,Blacklored babbler
