,Name,Wikidata_link
0,Cordilleran Parakeet,https://www.wikidata.org/wiki/Q30504160
0,Córdoba cinclodes,https://www.wikidata.org/wiki/Q596481
0,Corn Bunting,https://www.wikidata.org/wiki/Q27220
0,Corncrake,https://www.wikidata.org/wiki/Q26017
0,Coroneted Fruit-dove,https://www.wikidata.org/wiki/Q286199
0,Correndera Pipit,https://www.wikidata.org/wiki/Q1589993
0,Corsican Finch,https://www.wikidata.org/wiki/Q1299974
0,Corsican Nuthatch,
0,Cory's Shearwater,
0,Coscoroba Swan,https://www.wikidata.org/wiki/Q144218
0,Costa Rican Brush-finch,https://www.wikidata.org/wiki/Q5608095
0,Costa Rican Pygmy-owl,https://www.wikidata.org/wiki/Q869331
0,Costa Rican Swift,https://www.wikidata.org/wiki/Q1265340
0,Costa's Hummingbird,https://www.wikidata.org/wiki/Q579713
0,Cotton Pygmy-goose,https://www.wikidata.org/wiki/Q839532
0,Couch's Kingbird,https://www.wikidata.org/wiki/Q1260307
0,Cozumel Emerald,https://www.wikidata.org/wiki/Q1266791
0,Cozumel Thrasher,https://www.wikidata.org/wiki/Q1585778
0,Cozumel Vireo,https://www.wikidata.org/wiki/Q2667707
0,Crab-plover,https://www.wikidata.org/wiki/Q213836
0,Crag chilia,https://www.wikidata.org/wiki/Q1274466
0,Crane Hawk,https://www.wikidata.org/wiki/Q744953
0,Craveri's Murrelet,https://www.wikidata.org/wiki/Q1139106
0,Cream-backed Woodpecker,https://www.wikidata.org/wiki/Q1266929
0,Creambreasted fruit dove,
0,Cream-browed White-eye,https://www.wikidata.org/wiki/Q1302592
0,Creamcolored courser,
0,Cream-colored Woodpecker,https://www.wikidata.org/wiki/Q549537
0,Cream-eyed Bulbul,https://www.wikidata.org/wiki/Q65083486
0,Cream-striped Bulbul,https://www.wikidata.org/wiki/Q851684
0,Cream-throated White-eye,https://www.wikidata.org/wiki/Q1923113
0,Cream-vented Bulbul,https://www.wikidata.org/wiki/Q997664
0,Cream-winged Cinclodes,https://www.wikidata.org/wiki/Q1267740
0,Creamy-bellied Antwren,https://www.wikidata.org/wiki/Q1263958
0,Creamy-bellied Gnatcatcher,https://www.wikidata.org/wiki/Q841123
0,Creamy-bellied Thrush,https://www.wikidata.org/wiki/Q1588979
0,Creamy-crested Spinetail,https://www.wikidata.org/wiki/Q796682
0,Creamy-rumped Miner,https://www.wikidata.org/wiki/Q1263808
0,Crescent Honeyeater,https://www.wikidata.org/wiki/Q1300521
0,Crescent-chested Babbler,https://www.wikidata.org/wiki/Q73878
0,Crescentchested puffbird,
0,Crescent-chested Warbler,https://www.wikidata.org/wiki/Q27075886
0,Crescent-faced Antpitta,https://www.wikidata.org/wiki/Q1270558
0,Crested Ant-tanager,https://www.wikidata.org/wiki/Q1301436
0,Crested Auklet,https://www.wikidata.org/wiki/Q1166020
0,Crested Barbet,https://www.wikidata.org/wiki/Q1264584
0,Crested Becard,https://www.wikidata.org/wiki/Q1302843
0,Crested Bellbird,https://www.wikidata.org/wiki/Q1840756
